Grouping,Group,Constructible,NativeAvailable,ExpandedAvailable,NativePositive,ExpandedPositive,PeakMovesEarlier,NativeEnvelopeAtLeast90Percent,ExpandedEnvelopeAtLeast90Percent,NearPeakGained,NearPeakLost,NativeOutsideImposed,ExpandedOutsideImposed,NewOutsideImposed,ExpandedPeakBeforeTruth,SourceOnlyWindowGain,BaselineAboveOnePercent
Cohort+Shape+RiseFrames+DelayFrames,development|quadratic|7|10,324,118,118,118,118,49,114,113,0,1,1,1,0,0,51,3
Cohort+Shape+RiseFrames+DelayFrames,development|quadratic|7|25,318,104,104,101,104,102,0,94,94,0,25,0,0,0,68,2
Cohort+Shape+RiseFrames+DelayFrames,noiseless|control|0|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|exponential|23|10,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|exponential|23|25,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|exponential|7|10,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|exponential|7|25,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|gamma|23|10,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|gamma|23|25,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|gamma|7|10,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|gamma|7|25,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|quadratic|23|10,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|quadratic|23|25,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|quadratic|7|10,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
Cohort+Shape+RiseFrames+DelayFrames,noiseless|quadratic|7|25,3,3,3,3,3,3,0,3,3,0,0,0,0,0,0,0
