Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,NativeEnvelopeFraction,ExpandedEnvelopeFraction,ExpandedOracleSource,ExpandedOracleImposed,ExpandedOracleReferenceEffect,ExpandedDecompositionResidual,OracleSourceOnlyWindowGain
FB2312-baseline-awake,7,development,selection,641,650,resolved,633,581,645,613,632,652.356221069579,0.0924268871019229,provisional_valid,52.8040380587863,67.1072267991037,67.1072267991037,pulse,resolved,NaN,NaN,2,0.1,23,gamma,10,631,1,0,2,1,0.0242480263223261,-2.57921812589712,0.00163056243797577,-0.178127024834329,2,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0924268871019229,0.0924268871019229,613,632,652.356221069579,650,712.651475864614,650.489385612844,654.223056526315,0.00572336216453872,0.0955620362555276,0.0893096303400447,1,-0.00442506465123527,0.0986332220015015,-0.00178127024834329,0.00163056243797577,2,0,positive_raw_change_provisional,1,1,0.101781525713396,0.101781525713396,638,718.754032558666,8,0,0,1,0.00935463861147312,0.990716203265492,0.66772507054412,0.0345017723894065,0.0690762768946734,-0.00179652357068405,1.11022302462516e-16,0.0366580982035503
FB2312-baseline-awake,7,development,selection,641,650,resolved,633,581,645,613,632,652.486639484995,0.090637510630617,provisional_valid,50.4818438819814,66.7085174122346,66.7085174122346,pulse,resolved,NaN,NaN,2,0.1,23,exponential,10,631,1,0,2,1,0.0252347057658457,-2.67772901230994,0.00183080743689934,-0.199674726542387,2,1,0,0,NaN,positive_raw_change_provisional,1,1,0.090637510630617,0.090637510630617,613,632,652.486639484995,650,711.626404207652,650.489385612844,654.483893357147,0.00612197630200764,0.0939861893937128,0.0873092698391627,1,-0.00442506465123527,0.0970593225472762,-0.00199674726542387,0.00183080743689934,2,-6.93889390390723e-17,positive_raw_change_provisional,1,1,0.103005720888432,0.103005720888432,638,719.696496155218,8,0,0,1,0.0123682102578153,0.974907253096673,0.681713086028666,0.0345017723894065,0.0705233395757706,-0.00201939107674476,-8.32667268468867e-17,0.0366580982035503
FB2312-baseline-awake,9,development,selection,204,214,resolved,189,144,208,169,188,535.570074692796,0.0400818464597017,provisional_valid,48.1714201031897,52.3176358043159,52.3176358043159,pulse,resolved,NaN,NaN,2,0.02,23,gamma,10,194,1,0,-5,1,0.00487465142662913,-0.497690731048039,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0400818464597017,0.0400818464597017,169,188,535.570074692796,214,557.036712195043,534.502393382058,536.637756003534,0.00398708352534651,0.0421594348163721,0.0380125251406558,1,0.0197682106741619,0.0203136357855397,0,0,0,5.55111512312578e-17,positive_raw_change_provisional,1,1,0.0471168576282941,0.0471168576282941,202,560.804453652071,15,0,0,1,0.0070350111685924,0.995992793897287,0.719230069953185,0.0322680925795653,0.0148487650487288,0,-2.25514051876985e-17,0.0130106504080523
FB2312-baseline-awake,9,development,selection,204,214,resolved,189,144,208,169,188,535.570074692796,0.0398450610058896,provisional_valid,47.3563817454666,52.8045625468507,52.8045625468507,pulse,resolved,NaN,NaN,2,0.02,23,exponential,10,194,1,0,-5,1,0.00507412176393429,-0.517835462394811,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.0398450610058896,0.0398450610058896,169,188,535.570074692796,214,556.909896991859,534.502393382058,536.637756003534,0.00398708352534651,0.0419221763779543,0.037776210789372,1,0.0197682106741619,0.0200768503317275,0,0,0,1.59594559789866e-16,positive_raw_change_provisional,1,1,0.0472781476317268,0.0472781476317268,202,560.890835751257,15,0,0,1,0.00743308662583719,0.984383025553172,0.727042478599351,0.0322680925795653,0.0150100550521614,0,8.32667268468867e-17,0.0130106504080523
FB2312-baseline-awake,12,development,selection,471,490,resolved,458,413,475,438,457,578.191735900304,0.0155614918096396,provisional_valid,1.83954826252129,30.5663115464067,30.5663115464067,pulse,resolved,NaN,NaN,1,0.02,7,exponential,10,461,1,0,-3,1,0.00851947045737456,-0.849030383900251,0,0,0,1,1,0,24,positive_raw_change_provisional,1,1,0.0155614918096396,0.0155614918096396,438,457,578.191735900304,476,587.189261862917,576.448841667998,579.934630132609,0.00602877600660167,0.01863204402292,0.0125093956342104,1,-0.00435147861800045,0.01991297042764,0,0,0,6.24500451351651e-17,positive_raw_change_provisional,1,1,0.0452784501133443,0.0452784501133443,462,604.371361570213,13,0,0,1,0.0297169583037047,1,0.605787539993086,0.0327657180389442,0.0125127320744,0,2.42861286636753e-17,0.0356903826970782
FB2312-baseline-awake,12,development,selection,471,490,resolved,458,413,475,438,457,578.191735900304,0.0155614918096396,provisional_valid,3.27830636969759,13.8318277459354,13.8318277459354,pulse,resolved,NaN,NaN,1,0.02,7,quadratic,10,461,1,0,-3,1,0.00585438165497809,-0.584979756569481,0,0,0,1,1,0,24,positive_raw_change_provisional,1,1,0.0155614918096396,0.0155614918096396,438,457,578.191735900304,476,587.189261862917,576.448841667998,579.934630132609,0.00602877600660167,0.01863204402292,0.0125093956342104,1,-0.00435147861800045,0.01991297042764,0,0,0,6.24500451351651e-17,positive_raw_change_provisional,1,1,0.0344518661500282,0.0344518661500282,462,598.111520194593,13,0,0,1,0.0188903743403885,1,0.0816326530612245,0.0327657180389442,0.00168614811108396,0,-4.59701721133854e-17,0.0356903826970782
FB2312-baseline-awake,12,development,selection,471,490,resolved,458,413,475,438,457,578.191735900304,0.0169369323213304,provisional_valid,0.414224450299553,13.5798821201766,13.5798821201766,pulse,resolved,NaN,NaN,1,0.02,23,gamma,10,461,1,0,-3,1,0.00482702565497006,-0.483471650369416,0,0,0,1,1,0,24,positive_raw_change_provisional,1,1,0.0169369323213304,0.0169369323213304,438,457,578.191735900304,481,587.9845302,576.448841667998,579.934630132609,0.00602877600660167,0.0200116431817645,0.0138807024949512,1,-0.00292466465813401,0.0198615969794644,0,0,0,5.55111512312578e-17,positive_raw_change_provisional,1,1,0.0372414463216395,0.0372414463216395,462,599.72443239645,13,0,0,1,0.0203045140003091,0.995992793897287,0.216686524567934,0.0327657180389442,0.00447572828269536,0,-8.76035355368288e-17,0.0356903826970782
FB2312-baseline-awake,12,development,selection,471,490,resolved,458,413,475,438,457,578.191735900304,0.0167054160480313,provisional_valid,0.224320813834476,14.909413134762,14.909413134762,pulse,resolved,NaN,NaN,1,0.02,23,exponential,10,461,1,0,-3,1,0.00502584949642793,-0.503171549999193,0,0,0,1,1,0,24,positive_raw_change_provisional,1,1,0.0167054160480313,0.0167054160480313,438,457,578.191735900304,481,587.850669404052,576.448841667998,579.934630132609,0.00602877600660167,0.0197794269185474,0.0136498820041706,1,-0.00292466465813401,0.0196300807061653,0,0,0,2.42861286636753e-17,positive_raw_change_provisional,1,1,0.0377570670912775,0.0377570670912775,462,600.022560064314,13,0,0,1,0.0210516510432461,0.984383025553172,0.241649629008362,0.0327657180389442,0.00499134905233335,0,-1.20563281580388e-16,0.0356903826970782
FB2312-baseline-awake,12,development,selection,471,490,resolved,434,413,475,414,433,571.970638280876,0.0276933200359004,provisional_valid,7.53678476507989,16.9739050796921,16.9739050796921,pulse,resolved,NaN,NaN,1,0.02,23,quadratic,10,461,1,0,-27,0,0.000726567544041989,-0.0730490624610836,0,0,0,1,1,1,0,positive_raw_change_provisional,1,1,0.0276933200359004,0.0276933200359004,414,433,571.970638280876,490,587.810404217926,572.262501997124,571.678774564627,-0.00102055489115995,0.0271691787711787,0.0282179964886482,1,0.00754247062343172,0.0201508494124686,0,0,0,5.89805981832114e-17,positive_raw_change_provisional,1,1,0.0441565834542024,0.0441565834542024,462,597.226907503479,37,0,0,1,0.016463263418302,1,0.00756143667296786,0.0439987008529392,0.000157882601263127,0,2.12503625807159e-17,0.0360785728242858
FB2312-baseline-awake,12,development,selection,471,490,resolved,453,413,475,433,452,575.560898158599,0.020203533182191,provisional_valid,1.74587344551743,23.4988386835152,23.4988386835152,pulse,resolved,NaN,NaN,1,0.02,23,quadratic,25,446,1,0,7,0,0.0100837842791071,-1.00336989304161,0.000265956538179735,-0.0271329799923725,7,1,1,0,19,positive_raw_change_provisional,1,1,0.020203533182191,0.020203533182191,433,452,575.560898158599,476,587.189261862917,572.608052404537,578.51374391266,0.0102607587259952,0.02546455537457,0.0149962175342326,1,0.000465551943249709,0.020009311038865,-0.000271329799923725,0.000265956538179735,7,4.5102810375397e-17,positive_raw_change_provisional,1,1,0.0488222611287721,0.0488222611287721,462,603.661082624008,18,0,0,1,0.028618727946581,1,0.546313799621928,0.0377623246923642,0.0113388775741435,-0.000278941137735522,-7.28583859910259e-17,0.0358630557443458
