StartFrame,EndFrame,NativeStartFrame,NativeEndFrame,TimingSearchStartFrame,TimingSearchEndFrame,StartBoundaryStatus,EndBoundaryStatus,TimingResolved,NativeTraceCrossesReturnLevel,TimingMaxExtensionFrames,SiteID,EventID,Session,SearchLimitSec
571,579,572,575,567,580,return_crossing,return_crossing,1,0,5,14,10,M400-01-baseline-awake,5
57,76,57,76,52,81,search_limit_unresolved,seed_not_below_return_level,0,1,5,15,1,M400-01-baseline-awake,5
106,112,106,108,101,113,return_crossing,return_crossing,1,0,5,15,2,M400-01-baseline-awake,5
188,192,189,191,184,196,return_crossing,return_crossing,1,0,5,15,3,M400-01-baseline-awake,5
404,412,405,412,400,417,return_crossing,search_limit_unresolved,0,0,5,15,4,M400-01-baseline-awake,5
479,482,479,482,474,487,seed_not_below_return_level,return_crossing,0,1,5,15,5,M400-01-baseline-awake,5
512,514,512,514,507,519,return_crossing,return_crossing,1,0,5,15,6,M400-01-baseline-awake,5
546,549,546,548,541,553,return_crossing,return_crossing,1,0,5,15,7,M400-01-baseline-awake,5
49,56,49,55,44,60,search_limit_unresolved,return_crossing,0,0,5,16,1,M400-01-baseline-awake,5
234,241,234,240,229,245,search_limit_unresolved,return_crossing,0,0,5,16,2,M400-01-baseline-awake,5
70,81,70,80,65,85,search_limit_unresolved,return_crossing,0,0,5,17,1,M400-01-baseline-awake,5
301,304,301,304,296,309,seed_not_below_return_level,seed_not_below_return_level,0,1,5,17,2,M400-01-baseline-awake,5
360,371,360,371,355,376,search_limit_unresolved,search_limit_unresolved,0,0,5,17,3,M400-01-baseline-awake,5
488,519,488,519,483,524,search_limit_unresolved,seed_not_below_return_level,0,1,5,17,4,M400-01-baseline-awake,5
553,557,555,557,550,562,return_crossing,search_limit_unresolved,0,0,5,17,5,M400-01-baseline-awake,5
71,78,71,78,66,83,search_limit_unresolved,return_crossing,0,0,5,18,1,M400-01-baseline-awake,5
110,117,113,115,108,120,return_crossing,return_crossing,1,0,5,18,2,M400-01-baseline-awake,5
261,266,263,266,258,271,return_crossing,return_crossing,1,0,5,18,3,M400-01-baseline-awake,5
297,302,297,301,292,306,return_crossing,return_crossing,1,0,5,18,4,M400-01-baseline-awake,5
324,333,324,333,319,338,search_limit_unresolved,search_limit_unresolved,0,0,5,18,5,M400-01-baseline-awake,5
482,486,483,486,478,491,return_crossing,search_limit_unresolved,0,0,5,18,6,M400-01-baseline-awake,5
537,542,537,542,532,547,seed_not_below_return_level,seed_not_below_return_level,0,1,5,18,7,M400-01-baseline-awake,5
468,480,471,478,466,483,return_crossing,return_crossing,1,0,5,19,1,M400-01-baseline-awake,5
54,56,54,56,49,61,search_limit_unresolved,search_limit_unresolved,0,0,5,20,1,M400-01-baseline-awake,5
55,60,55,57,50,62,search_limit_unresolved,return_crossing,0,0,5,21,1,M400-01-baseline-awake,5
71,76,71,76,66,81,search_limit_unresolved,search_limit_unresolved,0,0,5,22,1,M400-01-baseline-awake,5
369,371,369,371,364,376,search_limit_unresolved,search_limit_unresolved,0,0,5,22,2,M400-01-baseline-awake,5
483,512,488,512,483,517,return_crossing,search_limit_unresolved,0,0,5,22,3,M400-01-baseline-awake,5
133,146,136,146,131,151,return_crossing,search_limit_unresolved,0,0,5,23,1,M400-01-baseline-awake,5
214,223,216,223,211,228,return_crossing,search_limit_unresolved,0,0,5,23,2,M400-01-baseline-awake,5
245,257,245,257,240,262,search_limit_unresolved,search_limit_unresolved,0,1,5,23,3,M400-01-baseline-awake,5
357,368,357,368,352,373,search_limit_unresolved,search_limit_unresolved,0,0,5,23,4,M400-01-baseline-awake,5
500,531,500,531,495,536,seed_not_below_return_level,seed_not_below_return_level,0,1,5,23,5,M400-01-baseline-awake,5
553,558,553,557,548,562,seed_not_below_return_level,return_crossing,0,1,5,23,6,M400-01-baseline-awake,5
59,63,61,63,56,68,return_crossing,search_limit_unresolved,0,0,5,24,1,M400-01-baseline-awake,5
518,545,519,545,514,550,return_crossing,return_crossing,1,0,5,25,1,M400-01-baseline-awake,5
94,96,94,96,89,101,search_limit_unresolved,search_limit_unresolved,0,0,5,26,1,M400-01-baseline-awake,5
449,461,449,461,444,466,search_limit_unresolved,return_crossing,0,0,5,27,1,M400-01-baseline-awake,5
102,105,102,105,97,110,search_limit_unresolved,search_limit_unresolved,0,0,5,28,1,M400-01-baseline-awake,5
542,546,542,545,537,550,search_limit_unresolved,return_crossing,0,0,5,28,2,M400-01-baseline-awake,5
285,290,285,287,280,292,search_limit_unresolved,return_crossing,0,0,5,29,1,M400-01-baseline-awake,5
137,142,137,142,132,147,search_limit_unresolved,search_limit_unresolved,0,0,5,30,1,M400-01-baseline-awake,5
139,143,141,143,136,148,return_crossing,search_limit_unresolved,0,0,5,31,1,M400-01-baseline-awake,5
142,145,142,145,137,150,search_limit_unresolved,search_limit_unresolved,0,0,5,32,1,M400-01-baseline-awake,5
137,147,138,147,133,152,return_crossing,search_limit_unresolved,0,1,5,33,1,M400-01-baseline-awake,5
