Session,Mouse,Role,Condition,DrugID,PixelSizeUm,SampleHz,Frames,DurationSec,Status,Stage,SinkSites,SinkEvents,SinkFiniteAmplitudes,SinkWrongDirectionAmplitudes,SurgeSites,SurgeEvents,SurgeFiniteAmplitudes,SurgeWrongDirectionAmplitudes,MeanOccupiedTissueFraction,ElapsedSeconds
M400-01-baseline-awake,ID400,BOI_reference,Awake_immobile,awake,4.75,1,600,600,passed,complete,56,137,98,0,14,40,21,0,0.00504550353251108,109.59233975
M400-03-baseline-iso,ID400,BOI_reference,Anesthetized,Isoflurane,4.75,1,600,600,passed,complete,56,84,71,0,2,2,1,0,0.000820885736180606,112.710495125
M401-01-baseline-awake,ID401,BOI_reference,Awake_immobile,awake,4.75,1,600,600,passed,complete,49,92,74,2,1,1,0,0,0.00335818970570993,94.2627979166667
M401-03-baseline-iso,ID401,BOI_reference,Anesthetized,Isoflurane,4.75,1,600,600,passed,complete,33,43,34,0,1,3,2,1,0.00091596145530916,97.893878375
FB2312-baseline-awake,FB2312,BOI_reference,Awake_immobile,awake,2.35,1,1200,1200,passed,complete,59,192,164,3,19,58,36,6,0.00297946100669691,140.965412041667
FB2316-baseline,FB2316,BOI_reference,Anesthetized,KX,2.35,1,1200,1200,passed,complete,81,193,143,1,32,62,31,3,0.00507117089472825,146.672689375
ID13-20200917,ID13,BOI_reference,Awake_mobile,awake,2.38,1,1200,1200,passed,complete,60,235,174,2,34,131,53,0,0.00453824674989682,151.248759
FB2411,FB2411,fluorescence_control,mNeongreen KX,KX,6.75,1,301,301,passed,complete,20,26,24,0,1,1,0,0,0.00221950310523433,33.904924
