Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual
FB2316-baseline,10,additional,selection,64,79,resolved,39,9,68,19,38,2120.22414529914,0.149318877155553,provisional_valid,61.4523544725244,21.7160504179109,21.7160504179109,pulse,resolved,NaN,NaN,1,0.1,7,gamma,25,39,1,0,0,1,0.0653598552190597,-6.63847248547758,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.149318877155553,0.149318877155553,19,38,2120.22414529914,77,2436.8136339933,2080.70482295482,2159.74346764347,0.037278438161307,0.171148164367096,0.128288461338491,1,0.142733731112097,0.00658514604345582,0,0,0,2.77555756156289e-17
FB2316-baseline,10,additional,selection,64,79,resolved,52,9,68,32,51,2185.29304029304,0.205866752711963,provisional_valid,11.1417459029011,4.85062931330258,11.1417459029011,rising,resolved,NaN,NaN,1,0.1,7,exponential,10,54,1,0,-2,1,0.0433703553022626,-4.86401136053125,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.205866752711963,0.205866752711963,32,51,2185.29304029304,70,2635.17222222222,2175.68937728938,2194.8967032967,0.00878935943746519,0.211189542831386,0.200590541807381,1,0.0962425024654212,0.109624250246542,0,0,0,0
FB2316-baseline,10,additional,selection,64,79,resolved,39,9,68,19,38,2120.22414529914,0.177477163017987,provisional_valid,44.4079585617573,18.5503380459507,18.5503380459507,pulse,resolved,NaN,NaN,1,0.1,7,exponential,25,39,1,0,0,1,0.0912325101379976,-9.26824886540798,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.177477163017987,0.177477163017987,19,38,2120.22414529914,67,2496.51551156907,2080.70482295482,2159.74346764347,0.037278438161307,0.199841267260464,0.155931502500648,1,0.126148010331861,0.0513291526861261,0,0,0,8.32667268468867e-17
FB2316-baseline,10,additional,selection,64,79,resolved,55,9,68,35,54,2200.56480358077,0.197498123179219,provisional_valid,16.000274689999,6.86288738211945,16.000274689999,rising,resolved,NaN,NaN,1,0.1,7,quadratic,10,54,1,0,1,1,0.0299817134325104,-3.40617555959484,0.000105267181635504,-0.0126057252440859,1,1,0,0,NaN,positive_raw_change_provisional,1,1,0.197498123179219,0.197498123179219,35,54,2200.56480358077,70,2635.17222222222,2180.90634920635,2220.2232579552,0.0178667352512732,0.208292241975995,0.186895152449303,1,0.0887492549378723,0.108874925493787,-0.000126057252440859,0.000105267181635504,1,5.55111512312578e-17
FB2316-baseline,10,additional,selection,64,79,resolved,36,9,68,16,35,2094.67658730159,0.156670993049492,provisional_valid,59.7682390966671,21.1838305320781,21.1838305320781,pulse,resolved,NaN,NaN,1,0.1,7,quadratic,25,39,1,0,-3,1,0.0819003909806935,-8.14435339795696,0,0,0,1,0,0,NaN,positive_raw_change_provisional,1,1,0.156670993049492,0.156670993049492,16,35,2094.67658730159,77,2422.85164835165,2047.31007326007,2142.0431013431,0.045225610797066,0.183431703871595,0.131093789304461,1,0.156670993049492,0,0,0,0,0
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,7.27628938215578,-6.39303866563042,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,gamma,10,54,1,0,NaN,0,0.0246406563568453,-2.84573877705292,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,1.17561461250121,-19.0870218568831,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,gamma,25,39,1,0,NaN,0,0.0877441831129533,-9.4125493004386,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,6.44616644506708,-7.22316160271902,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,exponential,10,54,1,0,NaN,0,0.0256467513741134,-2.95927381259424,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,1.72095706951651,-20.6291911607264,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,exponential,25,39,1,0,NaN,0,0.0871878874054051,-9.40191992216048,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
FB2316-baseline,10,additional,selection,64,79,no_model_evidence,NaN,9,68,NaN,NaN,NaN,NaN,onset_unresolved,25.2519452740885,-20.4866485000398,NaN,none,no_model_evidence,NaN,NaN,0,0.1,23,quadratic,10,54,1,0,NaN,0,0.00372385701731948,-0.439065535622363,NaN,NaN,NaN,0,0,0,NaN,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN
