Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,OracleSourceAtObservedPeak,OracleImposedAtObservedPeak,OracleBaselineEffect,OracleBaselineImposedFraction,OracleReferencePositiveFrames,DecompositionResidual,ReviewCase,OracleFailureMechanism
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.6497178316798,0.192553296664794,provisional_valid,25.8519244442487,28.2696268105921,28.2696268105921,pulse,resolved,NaN,NaN,2,0.2,7,quadratic,10,458,1,0,6,0,0.0557754278569544,-6.48061618421578,0.0170132748492053,-2.0289237008484,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.192553296664794,0.192553296664794,444,463,83.6497178316798,475,99.7567467652495,83.503573629082,83.7958620342777,0.00349419475369719,0.194640449861023,0.190473423669093,1,0.0107021113943981,0.20214042227888,-0.020289237008484,0.0170132748492053,6,2.77555756156289e-17,11,reference_contamination_above_one_percent
M400-01-baseline-awake,47,development,selection,468,478,resolved,445,408,472,425,444,83.1672393023753,-0.000440281513584218,provisional_valid,55.3777492994652,78.6250569489132,78.6250569489132,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,443,1,0,2,1,0.165987991607072,-14.5527908233303,0.00102215017920959,-0.102170014538161,2,1,0,0,NaN,raw_direction_conflict,1,0,-0.000440281513584218,NaN,425,444,83.1672393023753,475,83.1306223043746,82.5133086876155,83.8211699171351,0.0157256780493158,0.00748138241669793,-0.00823834376736976,0,0.000581418631797392,0,-0.00102170014538161,0.00102215017920959,2,0,12,reference_changes_sign
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.8481883637811,0.184307273526576,provisional_valid,12.6674528548927,-1.12701077781108,12.6674528548927,rising,resolved,NaN,NaN,1,0.2,23,gamma,10,458,1,1,6,0,0.0463153883641172,-5.40534527632384,0.0194262795914282,-2.30066842176893,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.184307273526576,0.184307273526576,444,463,83.8481883637811,475,99.3020193512524,83.503573629082,84.1928030984804,0.00821996852702581,0.189194845628359,0.179459712668062,1,0.0107021113943981,0.196611846349867,-0.0230066842176893,0.0194262795914282,6,1.66533453693773e-16,13,reference_contamination_above_one_percent
M400-01-baseline-awake,47,development,selection,468,478,resolved,464,408,472,444,463,83.9707641813829,0.178452457187672,provisional_valid,10.3562206244198,-3.18555679686965,10.3562206244198,rising,resolved,NaN,NaN,1,0.2,23,exponential,10,458,1,1,6,0,0.0482368374769557,-5.59966754734009,0.0209165563898193,-2.4649167273487,6,0,0,0,NaN,positive_raw_change_provisional,1,1,0.178452457187672,0.178452457187672,444,463,83.9707641813829,475,98.9555533814772,83.503573629082,84.4379547336839,0.0111274574396352,0.185045730150809,0.171932144656767,1,0.0107021113943981,0.19239951306676,-0.024649167273487,0.0209165563898193,6,0,14,reference_contamination_above_one_percent
M400-01-baseline-awake,48,development,selection,535,544,resolved,515,475,539,495,514,79.2932620682212,0.0761679765066703,provisional_valid,8.48175829081567,89.7176108559622,89.7176108559622,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,510,1,0,5,1,0.164092643067216,-14.8870163968445,0.0104934378327415,-1.12927017590598,5,0,0,0,NaN,positive_raw_change_provisional,1,1,0.0761679765066703,0.0761679765066703,495,514,79.2932620682212,537,85.3328693905707,79.9173143251322,78.6692098113101,-0.0157403602937695,0.0677644777126276,0.0847047986784599,1,0.0699914304221041,0.0174692478436262,-0.0112927017590598,0.0104934378327415,5,-1.94289029309402e-16,15,reference_contamination_above_one_percent
FB2312-baseline-awake,11,development,selection,402,412,resolved,379,342,406,359,378,583.468653633623,-0.00540225880740675,provisional_valid,58.5576865370065,114.585658587272,114.585658587272,pulse,resolved,NaN,NaN,1,0.1,7,quadratic,25,377,1,0,2,1,0.0823062216111283,-7.60324126171318,0.000513356700642786,-0.0510583414885413,2,1,0,0,NaN,raw_direction_conflict,1,0,-0.00540225880740675,NaN,359,378,583.468653633623,402,580.316604960685,586.06290886489,580.874398402357,-0.00889252649687509,-0.00980492677029232,-0.000960265150617534,0,-0.022839520926524,0.0179478455340027,-0.000510583414885413,0.000513356700642786,2,-3.12250225675825e-17,16,source_fluctuation_dominates
FB2312-baseline-awake,15,development,selection,641,650,resolved,616,581,645,596,615,590.675032243381,-0.000540202548853341,provisional_valid,15.6789681626644,13.029209318615,13.029209318615,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,616,1,0,0,1,0.0131632987508055,-1.28634625746565,0,0,0,1,0,0,NaN,raw_direction_conflict,1,0,-0.000540202548853341,NaN,596,615,590.675032243381,641,590.355948085419,589.390137318868,591.959927167893,0.00435059839801457,0.00163866122861167,-0.00270960754074789,0,-0.00543504982141829,0.00489484727256488,0,0,0,6.59194920871187e-17,17,source_fluctuation_dominates
FB2312-baseline-awake,15,development,selection,641,650,resolved,617,581,645,597,616,590.007505167457,-0.000652174109821879,provisional_valid,25.142229642186,21.101015854828,21.101015854828,pulse,resolved,NaN,NaN,1,0.02,7,quadratic,25,616,1,0,1,1,0.0164189175893175,-1.59736677481895,2.04103277550161e-05,-0.00203970166677836,1,1,0,0,NaN,raw_direction_conflict,1,0,-0.000652174109821879,NaN,597,616,590.007505167457,641,589.622717547986,588.762400424854,591.252609910059,0.004220640353547,0.00146122972953266,-0.00275667681588998,0,-0.00428948917374028,0.00365771208058622,-2.03970166677836e-05,2.04103277550161e-05,1,-3.8597597340484e-17,18,source_fluctuation_dominates
FB2312-baseline-awake,20,development,selection,133,143,resolved,123,76,137,103,122,4930.27464963312,0.170501636274606,provisional_valid,29.7523979710555,22.9546768212155,29.7523979710555,rising,resolved,NaN,NaN,2,0.1,23,quadratic,25,108,1,0,15,0,0.051086379408471,-5.79404568564543,0.0115514852694374,-1.35210324092785,15,0,0,0,NaN,positive_raw_change_provisional,1,1,0.170501636274606,0.170501636274606,103,122,4930.27464963312,134,5770.89454467878,4989.57992709685,4870.96937216939,-0.0240575958453522,0.156589257812838,0.18475278815161,1,0.0763842442580769,0.107638424425808,-0.0135210324092785,0.0115514852694374,15,1.11022302462516e-16,19,reference_contamination_above_one_percent
FB2312-baseline-awake,21,development,selection,251,265,resolved,248,207,255,228,247,5601.67310490431,0.265205478803294,provisional_valid,20.7416522580298,8.50352098110391,20.7416522580298,rising,resolved,NaN,NaN,1,0.1,23,gamma,10,241,1,0,7,0,0.0242107643340164,-3.00703144827899,0.0135427478157324,-1.71343587345159,7,0,0,0,NaN,positive_raw_change_provisional,1,1,0.265205478803294,0.265205478803294,228,247,5601.67310490431,262,7087.26750278999,5506.13704500628,5697.20916480234,0.0341098304413334,0.287157846755322,0.243989345972324,1,0.165866617840374,0.116473219697437,-0.0171343587345159,0.0135427478157324,7,5.55111512312578e-17,20,reference_contamination_above_one_percent
