Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,Case,EventRow,TraceKind,LocalRow,IsPreselectedMatch,NativeStartFrame,NativeEndFrame,StoredAmplitude,StoredBaselineStatus,OnsetOffsetFromImposedStart,NativeBaselineImposedFraction,ProposedBaselineImposedFraction,ProposedBaselinePositiveFrames,CounterfactualPeakFraction,BaselineEffectPercentagePoints
overlapping_detection_in_fit,NaN,NaN,46,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,11,constructed,32,0,106,115,0.0224722236770528,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,46,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,11,source,32,0,106,115,0.0224722236770528,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,46,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,12,constructed,35,0,106,115,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,46,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,12,source,35,0,106,115,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,67,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,13,constructed,38,0,127,145,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,67,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,13,source,38,0,127,145,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,67,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,14,constructed,41,1,127,152,NaN,insufficient_clean_prebaseline,NaN,0.0114182827663605,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,67,131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,14,source,41,1,127,152,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,73,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,15,constructed,44,0,133,145,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,73,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,15,source,44,0,133,145,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,81,145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,16,constructed,47,0,141,156,0.0167222799653264,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,81,145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,16,source,47,0,141,156,0.0167222799653264,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,84,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,17,constructed,50,0,144,155,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,84,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,17,source,50,0,144,155,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,96,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,18,constructed,53,0,156,169,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,96,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,18,source,53,0,156,169,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,303,367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,19,constructed,56,0,363,388,0.0459319721471902,valid,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,303,367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,19,source,56,0,363,388,0.0459319721471902,valid,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,98,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,20,constructed,59,0,158,187,NaN,insufficient_clean_prebaseline,NaN,-0.0521185611859338,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,98,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,20,source,59,0,158,187,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,129,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,21,constructed,62,0,189,210,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,129,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,21,source,62,0,189,210,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,167,231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,22,constructed,65,0,227,240,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,167,231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,22,source,65,0,227,240,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,101,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,23,constructed,68,0,161,179,NaN,insufficient_clean_prebaseline,NaN,0.00053989374520369,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,101,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,23,source,68,0,161,179,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,109,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,24,constructed,71,0,169,186,NaN,insufficient_clean_prebaseline,NaN,0,NaN,NaN,NaN,NaN
overlapping_detection_in_fit,NaN,NaN,109,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,growing_clean,24,source,71,0,169,186,NaN,insufficient_clean_prebaseline,NaN,NaN,NaN,NaN,NaN,NaN
