Session,Kind,EventRow,CurrentStart,CurrentEnd,NativeStart,NativeEnd,CurrentAmplitude,NativeWindowAmplitude,CurrentStatus,NativeWindowStatus
M400-01-baseline-awake,sink,60,545,553,546,550,0.14176992129805,0.140914627885188,valid,valid
M400-01-baseline-awake,sink,61,555,580,572,575,NaN,0.0973758006052504,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,62,43,76,57,76,NaN,0.072716669104005,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,63,93,113,106,108,NaN,0.109396076859148,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,64,187,193,189,191,0.0926809110165138,0.0904752445506033,valid,valid
M400-01-baseline-awake,sink,65,403,427,405,412,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,66,479,483,479,482,0.0827672578613658,0.0827672578613658,valid,valid
M400-01-baseline-awake,sink,67,511,515,512,514,0.0824242698167239,0.0837947526602576,valid,valid
M400-01-baseline-awake,sink,68,545,550,546,548,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,69,39,57,49,55,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,70,214,256,234,240,0.121456038789287,0.0764103269834842,valid,valid
M400-01-baseline-awake,sink,71,50,82,70,80,0.0701610882891803,0.0182919463990332,valid,valid
M400-01-baseline-awake,sink,72,301,304,301,304,0.0850990218686261,0.0850990218686261,valid,valid
M400-01-baseline-awake,sink,73,350,378,360,371,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
M400-01-baseline-awake,sink,74,468,519,488,519,NaN,0.0526848291649024,insufficient_clean_prebaseline,valid
M400-01-baseline-awake,sink,75,552,566,555,557,0.0724771852650093,0.0718676380994808,valid,valid
M400-01-baseline-awake,sink,76,59,79,71,78,0.0268396198218661,0.0105809444305083,valid,valid
M400-01-baseline-awake,sink,77,109,118,113,115,0.0465879371216496,0.0462594706432663,valid,valid
M400-01-baseline-awake,sink,78,260,267,263,266,0.0749093915166731,0.075636036565219,valid,valid
M400-01-baseline-awake,sink,79,296,303,297,301,0.0483079227876352,0.0476779228807666,valid,valid
M400-01-baseline-awake,sink,80,313,354,324,333,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline
