RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,NativeFilteredMean,NativeZMean,RawExtremeFrame,RawChangeAtExtremePercent,CubicTrendContributionPercent,ResidualContributionPercent,DetrendedChangeAtRawExtreme,SpatialZChangeAtRawExtreme,TemporalZChangeAtRawExtreme,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,1,12,12,1156,1174,1172,1174,687,20,20,0,0,0,5209.61186317322,5209.61186317322,valid,valid,0.0755797979345282,0.0755797979345282,0,1,0,Awake_immobile,-0.25442931439216,-0.271803961763954,1172,-7.55797979345282,0.0125648726723291,-7.57054466612516,-394.395995311931,-0.512601230543113,-0.346602950745647,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,2,1,13,14,35,15,20,1397,20,13,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.487530788852502,-0.530845355170095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,2,2,14,676,710,694,696,618,20,20,0,0,0,5660.30080906149,5660.30080906149,valid,valid,0.0806328148363359,0.0806328148363359,0,1,0,Awake_immobile,-0.348360732077202,-0.401251499255905,686,-8.06328148363359,-0.0699181121956032,-7.99336337143796,-452.448403565243,-0.369454528349452,-0.250159092156548,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,2,3,15,1179,1195,1193,1195,663,20,20,0,0,0,4501.34886877828,4501.34886877828,valid,valid,0.0689926595825491,0.0689926595825491,0,1,0,Awake_immobile,-0.264083449402426,-0.33052847291159,1182,-6.89926595825491,-0.540876717278326,-6.35838924097658,-286.213272430742,-0.371832529267093,-0.288691300569025,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,3,1,16,10,22,10,13,490,20,9,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.623921928189847,-0.697937744963951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,3,2,17,295,406,320,342,1838,20,20,0,0,0,6415.46556039173,6415.46556039173,valid,valid,0.129067419431402,0.129067419431402,0,1,0,Awake_immobile,-0.506821817666663,-0.568256124024096,315,-12.9067419431402,2.31180927748856,-15.2185512206288,-976.34091913765,-1.66158460163815,-1.00509703244823,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,1,18,34,52,34,36,487,20,20,0,0,0,2691.8727926078,2691.8727926078,valid,valid,-0.0123635899847745,-0.0123635899847745,0,1,1,Awake_immobile,-0.333294064755068,-0.385587274347745,35,1.23635899847745,2.44404625802824,-1.20768725955076,-32.5094059186305,-0.110862025244505,-0.0659915994506942,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,2,19,411,449,433,440,386,20,20,0,0,0,5274.99378238342,5274.99378238342,valid,valid,0.172952393038697,0.172952393038697,0,1,0,Awake_immobile,-0.472867621437024,-0.608379498466338,429,-17.2952393038697,1.41496069045623,-18.710199994326,-986.961886897112,-1.59571860422268,-0.964021705732411,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,3,20,474,512,489,511,3112,20,13,0,7,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.504369531994168,-0.552820229509699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/FB2312-baseline-awake/Recording,sink,4,4,21,537,570,551,569,2578,20,20,0,0,0,4449.94133048875,4449.94133048875,valid,valid,0.138098660003166,0.138098660003166,0,1,0,Awake_immobile,-0.342997069396417,-0.398370253344095,550,-13.8098660003166,0.739523158470396,-14.549389158787,-647.439282633779,-0.456944380580282,-0.308989407225738,d2e65164f5640b4b97649714fbbd3e5ab5bc26c3243e44683d98e840ef89b657
