RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,NativeFilteredMean,NativeZMean,RawExtremeFrame,RawChangeAtExtremePercent,CubicTrendContributionPercent,ResidualContributionPercent,SourceRawSHA256,Session,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,4,3,12,240,341,252,332,2447,20,6,0,14,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.100707727655225,-0.104590789530438,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,4,4,13,402,409,405,408,318,20,15,0,5,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.27386798858994,-0.40184066498807,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,4,5,14,478,487,482,486,415,20,20,0,0,0,105.002891566265,105.002891566265,valid,valid,0.0953089071557409,0.0953089071557409,0,1,0,Awake_immobile,-0.190934564947902,-0.292415841346374,483,-9.53089071557409,-0.656441988757527,-8.87444872681658,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,4,6,15,545,551,546,549,467,20,20,0,0,0,103.972483940043,103.972483940043,valid,valid,0.0715917878947961,0.0715917878947961,0,1,0,Awake_immobile,-0.191833910988983,-0.281635274634814,547,-7.15917878947961,0.469264562758395,-7.62844335223798,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,4,7,16,580,600,580,600,1639,20,19,0,1,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.116531533076988,-0.126733052434087,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,5,1,17,23,38,23,33,907,20,20,0,0,0,125.114829106946,125.114829106946,valid,valid,0.0612548648804646,0.0612548648804646,0,1,0,Awake_immobile,-0.171946587271961,-0.205449310153415,26,-6.12548648804646,0.917810556594231,-7.04329704464072,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,5,2,18,90,147,90,108,893,20,6,0,14,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.135791891335241,-0.174596668263293,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,6,1,19,13,116,28,30,506,20,12,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.171302184187691,-0.213793929868589,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,6,2,20,116,156,125,128,797,20,20,0,0,0,119.97252195734,119.97252195734,valid,valid,0.109080812105658,0.109080812105658,0,1,0,Awake_immobile,-0.21962923464252,-0.282239229166396,153,-10.9080812105658,-0.505023074937261,-10.4030581356285,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,7,1,21,10,15,11,13,324,20,9,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.111934536828472,-0.145655535749261,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,7,2,22,94,120,102,104,438,20,20,0,0,0,91.1942922374429,91.1942922374429,valid,valid,0.110559771274638,0.110559771274638,0,1,0,Awake_immobile,-0.20643044395239,-0.231792625674696,101,-11.0559771274638,0.372066759579901,-11.4280438870437,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/phase1-optimized-20260909/M400-01-baseline-awake/Recording,sink,7,3,23,120,166,124,130,564,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,Awake_immobile,-0.197009359309006,-0.248291915193548,NaN,NaN,NaN,NaN,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05,M400-01-baseline-awake,BOI_reference
