RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,AmbiguousTrackingEvents,TrackingNotAssessedEvents,AmbiguousSiteAssignmentEvents,SiteAssignmentNotAssessedEvents,ShapeChangeLinkedEvents,ShapeChangeTrackingNotAssessedEvents,PotentialGapContinuationEvents,GapReviewNotAssessedEvents,Session,Case,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/single_noise,surge,13,8,8,5,0,0.615384615384615,0.615384615384615,0,0,13,0,0,4,0,0,0,7,0,3,0,M401-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/moving_clean,sink,120,65,65,55,2,0.541666666666667,0.541666666666667,54,66,0,58,0,0,120,0,120,0,120,0,120,M401-01-baseline-awake,moving_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/M401-01-baseline-awake/moving_clean,surge,15,8,8,7,0,0.533333333333333,0.533333333333333,0,0,15,2,0,4,0,0,0,7,0,2,0,M401-01-baseline-awake,moving_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/control,sink,34,20,20,14,0,0.588235294117647,0.588235294117647,19,15,0,17,0,0,34,0,34,0,34,0,34,FB2411,control,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/control,surge,7,2,2,5,1,0.285714285714286,0.285714285714286,0,0,7,0,0,6,0,0,0,4,0,0,0,FB2411,control,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/smooth_pairs,sink,11,4,4,7,0,0.363636363636364,0.363636363636364,7,4,0,4,0,0,11,0,11,0,11,0,11,FB2411,smooth_pairs,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/smooth_pairs,surge,13,4,4,9,1,0.307692307692308,0.307692307692308,0,0,13,2,0,11,0,0,0,5,0,4,0,FB2411,smooth_pairs,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/single_clean,sink,12,6,6,6,0,0.5,0.5,5,7,0,4,0,0,12,0,12,0,12,0,12,FB2411,single_clean,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/single_clean,surge,10,5,5,5,1,0.5,0.5,0,0,10,0,0,9,0,0,0,4,0,2,0,FB2411,single_clean,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/single_noise,sink,13,7,7,6,1,0.538461538461538,0.538461538461538,5,8,0,6,0,0,13,0,13,0,13,0,13,FB2411,single_noise,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/single_noise,surge,10,5,5,5,1,0.5,0.5,0,0,10,0,0,8,0,0,0,5,0,2,0,FB2411,single_noise,fluorescence_control
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-continuity-20260909/FB2411/moving_clean,sink,11,3,3,8,0,0.272727272727273,0.272727272727273,4,7,0,4,0,0,11,0,11,0,11,0,11,FB2411,moving_clean,fluorescence_control
