Session,Kind,EventRow,StartFrame,BaselineStatus,TruncatedWindow,OwnEventOverlapFrames,OtherSameSignOverlapFrames,OppositeSignOverlapFrames,ReconstructedCleanFrames
M400-01-baseline-awake,Sink,84,40,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,85,23,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,86,45,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,87,355,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,88,482,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,89,129,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,90,213,insufficient_clean_prebaseline,0,0,0,14,6
M400-01-baseline-awake,Sink,91,213,insufficient_clean_prebaseline,0,0,0,14,6
M400-01-baseline-awake,Sink,92,345,insufficient_clean_prebaseline,0,0,0,10,10
M400-01-baseline-awake,Sink,93,500,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,94,553,insufficient_clean_prebaseline,0,0,0,11,9
M400-01-baseline-awake,Sink,95,58,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,96,511,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,97,82,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,98,431,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,99,94,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,100,519,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,101,255,insufficient_clean_prebaseline,0,0,0,1,19
M400-01-baseline-awake,Sink,102,116,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,103,138,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,104,87,insufficient_clean_prebaseline,0,0,5,0,15
M400-01-baseline-awake,Sink,105,129,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,106,155,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,107,208,insufficient_clean_prebaseline,0,0,0,9,11
M400-01-baseline-awake,Sink,108,235,insufficient_clean_prebaseline,0,0,4,0,16
M400-01-baseline-awake,Sink,109,348,insufficient_clean_prebaseline,0,0,0,7,13
M400-01-baseline-awake,Sink,110,575,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,111,178,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,112,181,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,113,191,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,114,185,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,115,408,insufficient_clean_prebaseline,0,0,4,0,16
M400-01-baseline-awake,Sink,116,432,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,117,205,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,118,222,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,119,276,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,120,394,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,121,430,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,122,430,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,123,567,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,124,256,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,125,294,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,126,296,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,127,333,insufficient_clean_prebaseline,0,0,0,2,18
M400-01-baseline-awake,Sink,128,330,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,129,354,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,130,396,insufficient_clean_prebaseline,0,0,0,18,2
M400-01-baseline-awake,Sink,131,393,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,132,403,insufficient_clean_prebaseline,0,0,0,4,16
M400-01-baseline-awake,Sink,133,403,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,134,453,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,135,466,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,136,485,valid,0,0,0,0,20
M400-01-baseline-awake,Sink,137,534,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,1,138,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,2,241,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,3,330,insufficient_clean_prebaseline,0,0,1,0,19
M400-01-baseline-awake,Surge,4,432,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,5,138,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,6,174,insufficient_clean_prebaseline,0,0,16,0,4
M400-01-baseline-awake,Surge,7,369,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,8,590,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,9,27,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,10,123,insufficient_clean_prebaseline,0,0,0,6,14
M400-01-baseline-awake,Surge,11,200,insufficient_clean_prebaseline,0,0,0,7,13
M400-01-baseline-awake,Surge,12,240,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,13,291,insufficient_clean_prebaseline,0,0,0,3,17
M400-01-baseline-awake,Surge,14,308,insufficient_clean_prebaseline,0,0,10,0,10
M400-01-baseline-awake,Surge,15,321,insufficient_clean_prebaseline,0,0,11,0,9
M400-01-baseline-awake,Surge,16,375,insufficient_clean_prebaseline,0,0,0,6,14
M400-01-baseline-awake,Surge,17,390,insufficient_clean_prebaseline,0,0,13,0,7
M400-01-baseline-awake,Surge,18,437,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,19,542,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,20,170,insufficient_clean_prebaseline,0,0,1,3,16
M400-01-baseline-awake,Surge,21,196,insufficient_clean_prebaseline,0,0,11,0,9
M400-01-baseline-awake,Surge,22,324,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,23,392,insufficient_clean_prebaseline,0,0,0,3,17
M400-01-baseline-awake,Surge,24,442,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,25,534,insufficient_clean_prebaseline,0,0,0,18,2
M400-01-baseline-awake,Surge,26,199,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,27,389,insufficient_clean_prebaseline,0,0,0,1,19
M400-01-baseline-awake,Surge,28,2,insufficient_clean_prebaseline,1,0,0,0,1
M400-01-baseline-awake,Surge,29,267,insufficient_clean_prebaseline,0,0,0,10,10
M400-01-baseline-awake,Surge,30,588,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,31,122,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,32,535,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,33,144,insufficient_clean_prebaseline,0,0,1,0,19
M400-01-baseline-awake,Surge,34,174,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,35,447,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,36,55,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,37,41,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,38,59,insufficient_clean_prebaseline,0,0,3,2,17
M400-01-baseline-awake,Surge,39,59,valid,0,0,0,0,20
M400-01-baseline-awake,Surge,40,54,insufficient_clean_prebaseline,0,0,0,15,5
M400-03-baseline-iso,Sink,1,5,insufficient_clean_prebaseline,1,0,0,0,4
M400-03-baseline-iso,Sink,2,571,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,3,25,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,4,164,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,5,246,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,6,296,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,7,351,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,8,499,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,9,565,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,10,9,insufficient_clean_prebaseline,1,0,0,0,8
M400-03-baseline-iso,Sink,11,249,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,12,278,insufficient_clean_prebaseline,0,0,2,0,18
M400-03-baseline-iso,Sink,13,364,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,14,593,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,15,489,insufficient_clean_prebaseline,0,0,1,0,19
M400-03-baseline-iso,Sink,16,12,insufficient_clean_prebaseline,1,0,0,0,11
M400-03-baseline-iso,Sink,17,157,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,18,231,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,19,400,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,20,421,insufficient_clean_prebaseline,0,0,3,0,17
M400-03-baseline-iso,Sink,21,16,insufficient_clean_prebaseline,1,0,0,0,15
M400-03-baseline-iso,Sink,22,236,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,23,572,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,24,213,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,25,580,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,26,19,insufficient_clean_prebaseline,1,0,0,0,18
M400-03-baseline-iso,Sink,27,215,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,28,22,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,29,23,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,30,27,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,31,24,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,32,164,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,33,180,insufficient_clean_prebaseline,0,0,4,0,16
M400-03-baseline-iso,Sink,34,349,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,35,516,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,36,86,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,37,319,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,38,41,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,39,45,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,40,201,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,41,268,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,42,376,insufficient_clean_prebaseline,0,0,6,0,14
M400-03-baseline-iso,Sink,43,49,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,44,273,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,45,58,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,46,59,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,47,62,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,48,266,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,49,444,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,50,578,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,51,61,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,52,64,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,53,103,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,54,76,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,55,207,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,56,79,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,57,402,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,58,158,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,59,111,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,60,113,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,61,111,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,62,120,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,63,122,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,64,141,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,65,484,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,66,160,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,67,184,insufficient_clean_prebaseline,0,0,6,0,14
M400-03-baseline-iso,Sink,68,342,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,69,159,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,70,154,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,71,175,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,72,186,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,73,222,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,74,271,insufficient_clean_prebaseline,0,0,2,0,18
M400-03-baseline-iso,Sink,75,526,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,76,296,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,77,302,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,78,349,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,79,351,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,80,361,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,81,361,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,82,537,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,83,566,valid,0,0,0,0,20
M400-03-baseline-iso,Sink,84,576,valid,0,0,0,0,20
M400-03-baseline-iso,Surge,1,117,valid,0,0,0,0,20
M400-03-baseline-iso,Surge,2,225,insufficient_clean_prebaseline,0,0,0,3,17
