StrictBaselineStatus,StrictMeasuredPeakFraction,CleanBaselineFrames,PrebaselineFrames,NativePeakFrame,UnscreenedObservedBaseline,UnscreenedSourceBaseline,UnscreenedObservedPeakFraction,UnscreenedCounterfactualPeakFraction,UnscreenedSourcePeakFraction,UnscreenedBaselinePositiveFraction,UnscreenedBaselineNegativeFraction,UnscreenedBaselineImposedFraction,UnscreenedBaselineEffectFraction,UnscreenedBackgroundAtObservedPeak,UnscreenedAppliedAtObservedPeak,PeakPositiveAppliedVsSameFrameSource,MinimumNegativeAppliedVsSameFrameSource,PeakNetAppliedVsSameFrameSource,PeakPositiveAppliedInNativeIntersection,NativeIntersectionFrames,PreFramesWithPositiveIncrement,PreFramesWithNegativeIncrement,Session,Case,EventRow,Support,SupportStatus,SupportPixels,SupportAreaUm2,OccupancyFraction,IsPreselectedMatch,StartFrame,EndFrame,SharedCleanBaselineFrames,StoredFullEventAmplitude,EligibleSupportFraction,LocalRow
insufficient_clean_prebaseline,NaN,19,20,131,109.956552905354,108.715211875159,0.0443941925113904,0.0563193807210303,0.0283637414366526,0.0114182827663608,0,0.0114182827663605,-0.0119251882096398,0.0283637414366526,0.0279556392843777,0.0286535283142386,0,0.0286535283142385,0.0286535283142386,26,20,0,M400-01-baseline-awake,growing_clean,14,full_event,available,7882,177837.625,0,1,127,152,19,NaN,0.824917533620908,41
insufficient_clean_prebaseline,NaN,19,20,131,110.271675126904,106.960592216582,0.0746232654744719,0.107889411964588,0.0320988912057208,0.0309561011369211,0,0.0309561011369208,-0.0332661464901158,0.0320988912057208,0.0757905207588669,0.0775685552848479,0,0.0775685552848479,0.0775685552848479,26,20,0,M400-01-baseline-awake,growing_clean,14,persistent_50,available,2955,66672.1875,0.5,1,127,152,19,NaN,0.820981387478849,42
insufficient_clean_prebaseline,NaN,19,20,131,109.887240795599,105.74663563267,0.0861516758898198,0.128680927151629,0.0328146429095967,0.0391559044706784,0,0.0391559044706784,-0.0425292512618091,0.0328146429095967,0.0958662842420321,0.0980317491514042,0,0.0980317491514041,0.0980317491514042,26,20,0,M400-01-baseline-awake,growing_clean,14,persistent_75,available,2363,53315.1875,0.75,1,127,152,19,NaN,0.813796022005925,43
insufficient_clean_prebaseline,NaN,18,20,131,115.082787165045,112.275763782215,0.0376524954652811,0.0635950027340154,0.0280626860965942,0.025001151524337,0,0.0250011515243374,-0.0259425072687343,0.0280626860965942,0.0355323166374212,0.0372736681850731,0,0.0372736681850731,0.0372736681850731,29,20,0,M400-01-baseline-awake,shrinking_clean,14,full_event,available,5859,132193.6875,0,1,127,155,18,NaN,0.845024748250555,41
insufficient_clean_prebaseline,NaN,18,20,131,113.513558171118,106.252942507922,0.0621154932503879,0.134693364548794,0.0351078073091471,0.0683333138059181,0,0.0683333138059183,-0.0725778712984064,0.0351078073091471,0.0995855572396472,0.103942832911382,0,0.103942832911382,0.103942832911382,29,20,0,M400-01-baseline-awake,shrinking_clean,14,persistent_50,available,2209,49840.5625,0.5,1,127,155,18,NaN,0.810774105930285,42
insufficient_clean_prebaseline,NaN,18,20,132,114.370935175345,106.343039319872,0.0873785866503504,0.169465407799434,0.0360072270278049,0.0754905624930048,0,0.0754905624930049,-0.0820868211490836,0.0360072270278049,0.133458180771629,0.130905396428432,0,0.130905396428432,0.130905396428432,29,20,0,M400-01-baseline-awake,shrinking_clean,14,persistent_75,available,941,21231.3125,0.75,1,127,155,18,NaN,0.820403825717322,43
valid,0.111853057148679,20,20,142,126.862736205593,126.628316326531,0.111853057148679,0.11391136817068,0.072543968251517,0.00185124374913308,0,0.00185124374913324,-0.00205831102200117,0.072543968251517,0.0413673999191633,0.0451793348308094,0,0.0451793348308096,0.0451793348308094,38,11,0,M401-01-baseline-awake,growing_clean,6,full_event,available,5292,119400.75,0,1,113,150,20,0.111853057148679,0.898148148148148,17
valid,0.164492828487053,20,20,142,129.357089387935,128.810832232497,0.164492828487053,0.169431175122911,0.0746680504592018,0.00424077032940963,0,0.00424077032940958,-0.00493834663585813,0.0746680504592018,0.094763124663709,0.104014653334534,0,0.104014653334534,0.104014653334534,38,11,0,M401-01-baseline-awake,growing_clean,6,persistent_50,available,2271,51239.4375,0.5,1,113,150,20,0.111853057148679,0.908410391897842,18
valid,0.191449378288425,20,20,142,130.860706401766,130.17607615894,0.191449378288425,0.197715524121367,0.0802527820931958,0.00525926316898427,0,0.00525926316898437,-0.00626614583294163,0.0802527820931958,0.117462742028171,0.128246706240046,0,0.128246706240046,0.128246706240046,38,11,0,M401-01-baseline-awake,growing_clean,6,persistent_75,available,1812,40883.25,0.75,1,113,150,20,0.111853057148679,0.907284768211921,19
valid,0.0987447875640289,20,20,142,128.340599714422,127.938267491671,0.0987447875640289,0.102200051116395,0.0732750169922948,0.00314473715049537,0,0.00314473715049526,-0.00345526355236563,0.0732750169922948,0.0289250341240998,0.0564306502854858,0,0.0564306502854858,0.0564306502854858,39,8,0,M401-01-baseline-awake,shrinking_clean,5,full_event,available,4202,94807.625,0,1,110,148,20,0.0987447875640289,0.912422655878153,14
