RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Session,Case
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,14,1,16,141,156,141,156,3602,20,20,0,0,0,120.357967795669,120.357967795669,valid,valid,0.0167222799653264,0.0167222799653264,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,15,1,17,144,155,144,155,3982,20,18,0,2,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,16,1,18,156,169,156,169,2872,20,8,0,12,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,16,2,19,363,388,363,388,3177,20,20,0,0,0,100.069641170916,100.069641170916,valid,valid,0.0459319721471902,0.0459319721471902,0,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,17,1,20,158,187,158,187,2383,20,9,0,11,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,17,2,21,189,210,189,210,2706,20,1,0,19,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,17,3,22,227,240,227,240,2298,20,16,0,4,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,18,1,23,161,179,161,179,1888,20,8,0,12,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,19,1,24,169,186,169,186,3072,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-shape-evidence-20260909/M400-01-baseline-awake/growing_clean,surge,19,2,25,197,206,197,206,3045,20,5,0,15,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,M400-01-baseline-awake,growing_clean
