Session,EventRow,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Constructible,PreviousStatus,PulseStatus,PreviousErrorSec,PulseErrorSec,PreviousWithinFiveSec,PulseWithinFiveSec
M400-01-baseline-awake,5,0.05,30,sine_squared,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,5,linear,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,5,linear,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,5,sine_squared,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,5,sine_squared,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,15,linear,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,15,linear,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,15,sine_squared,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,15,sine_squared,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,30,linear,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,30,linear,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,30,sine_squared,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.1,30,sine_squared,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,5,linear,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,5,linear,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,5,sine_squared,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,5,sine_squared,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,15,linear,10,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
M400-01-baseline-awake,5,0.2,15,linear,25,1,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,0
