Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
insufficient_improvement,NaN,407,386,450,0.26166785315931,406,409,3,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,29,86,pulse,446,456,45,0,2,linear,0.665412568550642
insufficient_improvement,NaN,166,136,200,-14.997143647507,162,170,8,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,30,89,pulse,196,206,2,10,20,sine_squared,0.0224275547422781
insufficient_improvement,NaN,208,185,213,6.83110678030823,208,208,0,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,31,92,pulse,209,219,2,5,2,linear,0.0502492358972978
insufficient_improvement,NaN,224,181,245,0.275350192508533,224,226,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,32,95,pulse,241,251,5,20,2,linear,0.0402540236270301
insufficient_improvement,NaN,240,219,245,-15.1977610933125,239,241,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,33,98,pulse,241,254,5,5,2,sine_squared,0.0319431908147172
insufficient_clean_context,NaN,NaN,220,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,34,101,pulse,241,252,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,240,220,246,-17.860583027304,240,242,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,35,104,pulse,242,253,2,0,2,linear,0.00117557777906478
insufficient_improvement,NaN,240,183,247,-13.3308907112975,233,243,10,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,36,107,pulse,243,253,5,0,20,linear,0.119926825657493
insufficient_clean_context,NaN,NaN,311,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,37,110,pulse,331,347,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,235,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,38,113,pulse,245,254,NaN,NaN,NaN,unassessed,NaN
insufficient_clean_context,NaN,NaN,281,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,39,116,pulse,284,294,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,275,254,305,-13.063014958831,274,276,2,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,40,119,pulse,301,310,2,0,30,sine_squared,0.0383198652070201
insufficient_improvement,NaN,299,260,324,-8.63651919042362,292,320,28,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,41,122,pulse,320,332,60,0,2,sine_squared,0.0839218105221549
insufficient_improvement,NaN,321,265,329,-12.3285823463891,316,324,8,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,42,125,pulse,325,338,5,5,2,sine_squared,0.0191919410713429
insufficient_clean_context,NaN,NaN,367,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,43,128,pulse,382,393,NaN,NaN,NaN,unassessed,NaN
resolved,358,358,330,394,61.0312214670502,357,358,1,338,357,90.9109424290221,0.0539485660711996,provisional_valid,M400-01-baseline-awake,44,131,pulse,390,400,30,10,2,linear,0.265643065919069
insufficient_improvement,NaN,375,355,419,9.16722605682738,375,375,0,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,45,134,pulse,415,430,2,20,20,sine_squared,0.0338746651291884
insufficient_clean_context,NaN,NaN,431,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,46,137,pulse,432,459,NaN,NaN,NaN,unassessed,NaN
search_boundary_unresolved,NaN,428,408,472,23.1602815519639,428,428,0,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,47,140,pulse,468,478,2,20,20,sine_squared,0.0647070279797298
insufficient_improvement,NaN,515,475,539,-4.79158626027304,509,521,12,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,48,143,pulse,535,544,15,10,2,sine_squared,0.0710779811131458
insufficient_improvement,NaN,523,499,563,-7.15697904011462,519,526,7,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,49,146,pulse,559,569,30,20,2,linear,0.0489383811004683
insufficient_clean_context,NaN,NaN,568,584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,50,149,pulse,580,600,NaN,NaN,NaN,unassessed,NaN
insufficient_improvement,NaN,583,530,594,-18.9491860085354,580,584,4,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,51,152,pulse,590,600,2,0,20,linear,0.0137128581351185
