Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,OnsetErrorSec,WithinFiveSec,PosthocCalibration,TemplateRiseSec,TemplatePlateauSec,TemplateRecoverySec,TemplateShape,PulseCoefficientOverFitMedian
resolved,95,95,60,124,2461.70153903751,95,95,0,75,94,100,0.1,provisional_valid,pulse,0.1,15,linear,25,95,0,1,0,15,20,2,linear,0.1
resolved,110,110,60,124,2471.27747215063,110,110,0,90,109,100,0.1,provisional_valid,pulse,0.1,15,sine_squared,10,110,0,1,0,15,0,2,sine_squared,0.1
resolved,95,95,60,124,2472.18175946967,95,95,0,75,94,100,0.1,provisional_valid,pulse,0.1,15,sine_squared,25,95,0,1,0,15,20,2,sine_squared,0.1
resolved,110,110,60,124,2368.21324337825,110,110,0,90,109,100,0.1,provisional_valid,pulse,0.1,30,linear,10,110,0,1,0,15,0,2,linear,0.05
resolved,95,95,60,124,2429.83452546154,95,95,0,75,94,100,0.1,provisional_valid,pulse,0.1,30,linear,25,95,0,1,0,30,0,2,linear,0.0999999999999999
resolved,110,110,60,124,2359.0772416201,110,110,0,90,109,100,0.1,provisional_valid,pulse,0.1,30,sine_squared,10,110,0,1,0,30,0,2,sine_squared,0.1
resolved,95,95,60,124,2455.07063483538,95,95,0,75,94,100,0.1,provisional_valid,pulse,0.1,30,sine_squared,25,95,0,1,0,30,0,2,sine_squared,0.1
resolved,110,110,60,124,2590.24514966921,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,5,linear,10,110,0,1,0,5,10,2,linear,0.2
resolved,95,95,60,124,2605.80376168887,95,95,0,75,94,100,0.16,provisional_valid,pulse,0.2,5,linear,25,95,0,1,0,5,20,5,linear,0.2
resolved,110,110,60,124,2592.50672112404,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,5,sine_squared,10,110,0,1,0,5,10,2,sine_squared,0.2
resolved,95,95,60,124,2609.55573089457,95,95,0,75,94,100,0.180901699437495,provisional_valid,pulse,0.2,5,sine_squared,25,95,0,1,0,5,20,5,sine_squared,0.2
resolved,110,110,60,124,2548.43151032383,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,15,linear,10,110,0,1,0,15,0,2,linear,0.2
resolved,95,95,60,124,2551.8106725103,95,95,0,75,94,100,0.2,provisional_valid,pulse,0.2,15,linear,25,95,0,1,0,15,20,2,linear,0.2
resolved,110,110,60,124,2561.38660562342,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,15,sine_squared,10,110,0,1,0,15,0,2,sine_squared,0.2
resolved,95,95,60,124,2562.29089294246,95,95,0,75,94,100,0.2,provisional_valid,pulse,0.2,15,sine_squared,25,95,0,1,0,15,20,2,sine_squared,0.2
resolved,110,110,60,124,2458.32237685104,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,30,linear,10,110,0,1,0,15,0,2,linear,0.0999999999999999
resolved,95,95,60,124,2519.94365893434,95,95,0,75,94,100,0.2,provisional_valid,pulse,0.2,30,linear,25,95,0,1,0,30,0,2,linear,0.2
resolved,110,110,60,124,2449.18637509289,110,110,0,90,109,100,0.2,provisional_valid,pulse,0.2,30,sine_squared,10,110,0,1,0,30,0,2,sine_squared,0.2
resolved,95,95,60,124,2545.17976830817,95,95,0,75,94,100,0.2,provisional_valid,pulse,0.2,30,sine_squared,25,95,0,1,0,30,0,2,sine_squared,0.2
