Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
available,0.2,15,linear,25,115,106,36,24,36,24,36,0,0.33962264150943394,0.22641509433962265,0.6666666666666666,-5.0,0.0,0.0,5.0,8.0
available,0.2,15,sine_squared,10,115,108,51,43,49,43,51,0,0.4722222222222222,0.39814814814814814,0.8431372549019608,2.0,0.000539120229291479,-0.0650017314834495,2.0,6.0
available,0.2,15,sine_squared,25,115,106,37,24,37,24,37,1,0.3490566037735849,0.22641509433962265,0.6486486486486487,-5.0,0.0,0.0,5.0,8.0
available,0.2,30,linear,10,115,108,46,36,42,36,46,1,0.42592592592592593,0.3333333333333333,0.782608695652174,0.0,0.0,0.0,2.0,8.0
available,0.2,30,linear,25,115,106,42,28,33,28,42,1,0.39622641509433965,0.2641509433962264,0.6666666666666666,0.0,0.0,0.0,2.0,16.599999999999994
available,0.2,30,sine_squared,10,115,108,49,31,49,31,49,0,0.4537037037037037,0.28703703703703703,0.6326530612244898,4.0,0.000813340665712925,-0.0956168890120512,5.0,9.0
available,0.2,30,sine_squared,25,115,106,45,35,43,35,45,1,0.42452830188679247,0.330188679245283,0.7777777777777778,3.0,0.000381162055181017,-0.0457528891976811,3.0,9.0
available,0.2,5,linear,10,115,108,49,42,49,42,49,0,0.4537037037037037,0.3888888888888889,0.8571428571428571,-4.0,0.0,0.0,4.0,6.200000000000003
available,0.2,5,linear,25,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-10.0,0.0,0.0,10.0,13.2
available,0.2,5,sine_squared,10,115,108,49,42,49,42,49,0,0.4537037037037037,0.3888888888888889,0.8571428571428571,-4.0,0.0,0.0,4.0,6.200000000000003
available,0.2,5,sine_squared,25,115,106,3,0,3,0,3,1,0.02830188679245283,0.0,0.0,-10.0,0.0,0.0,10.0,13.2
fixed,0.02,15,linear,10,115,108,11,6,11,6,11,3,0.10185185185185185,0.05555555555555555,0.5454545454545454,-1.0,0.0,0.0,5.0,23.0
fixed,0.02,15,linear,25,115,106,12,4,12,4,12,3,0.11320754716981132,0.03773584905660377,0.3333333333333333,-5.0,0.0,0.0,6.5,13.700000000000001
fixed,0.02,15,sine_squared,10,115,108,12,7,12,7,12,3,0.1111111111111111,0.06481481481481481,0.5833333333333334,-2.5,0.0,0.0,5.0,22.1
fixed,0.02,15,sine_squared,25,115,106,12,5,12,5,12,3,0.11320754716981132,0.04716981132075472,0.4166666666666667,-4.5,0.0,0.0,6.0,13.700000000000001
fixed,0.02,30,linear,10,115,108,11,4,11,4,11,3,0.10185185185185185,0.037037037037037035,0.36363636363636365,-10.0,0.0,0.0,10.0,27.0
fixed,0.02,30,linear,25,115,106,13,6,13,6,13,3,0.12264150943396226,0.05660377358490566,0.46153846153846156,-1.0,0.0,0.0,6.0,14.0
fixed,0.02,30,sine_squared,10,115,108,11,2,11,2,11,3,0.10185185185185185,0.018518518518518517,0.18181818181818182,-10.0,0.0,0.0,10.0,27.0
fixed,0.02,30,sine_squared,25,115,106,13,6,13,6,13,2,0.12264150943396226,0.05660377358490566,0.46153846153846156,3.0,3.81170451440038e-05,-0.00388660181696032,7.0,14.0
fixed,0.02,5,linear,10,115,108,12,6,12,6,12,2,0.1111111111111111,0.05555555555555555,0.5,-5.5,0.0,0.0,5.5,22.1
fixed,0.02,5,linear,25,115,106,4,0,3,0,4,2,0.03773584905660377,0.0,0.0,-10.0,0.0,0.0,13.0,14.0
fixed,0.02,5,sine_squared,10,115,108,12,6,12,6,12,2,0.1111111111111111,0.05555555555555555,0.5,-5.5,0.0,0.0,5.5,22.1
