Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Session,EventRow,LocalRow,Context,NativeStartFrame,NativeEndFrame
insufficient_improvement,NaN,111,85,145,-3.43769311603306,107,117,10,-0.000622208804371751,0.000124929046191323,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,16,47,available,141,156
overlapping_detection_in_fit,NaN,NaN,84,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,17,50,fixed,144,155
insufficient_clean_context,NaN,NaN,144,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,17,50,available,144,155
overlapping_detection_in_fit,NaN,NaN,96,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,18,53,fixed,156,169
insufficient_clean_context,NaN,NaN,156,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,18,53,available,156,169
overlapping_detection_in_fit,NaN,NaN,303,367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,19,56,fixed,363,388
insufficient_improvement,NaN,361,341,367,1.384016639594,361,362,1,-0.00156795999207672,0.00435366345733385,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,19,56,available,363,388
overlapping_detection_in_fit,NaN,NaN,98,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,20,59,fixed,158,187
insufficient_clean_context,NaN,NaN,149,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,20,59,available,158,187
overlapping_detection_in_fit,NaN,NaN,129,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,21,62,fixed,189,210
insufficient_clean_context,NaN,NaN,188,193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,21,62,available,189,210
overlapping_detection_in_fit,NaN,NaN,167,231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,22,65,fixed,227,240
insufficient_clean_context,NaN,NaN,211,231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,22,65,available,227,240
overlapping_detection_in_fit,NaN,NaN,101,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,23,68,fixed,161,179
insufficient_clean_context,NaN,NaN,153,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,23,68,available,161,179
overlapping_detection_in_fit,NaN,NaN,109,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,24,71,fixed,169,186
insufficient_clean_context,NaN,NaN,152,173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,24,71,available,169,186
overlapping_detection_in_fit,NaN,NaN,137,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,25,74,fixed,197,206
insufficient_clean_context,NaN,NaN,194,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,25,74,available,197,206
overlapping_detection_in_fit,NaN,NaN,264,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,26,77,fixed,324,334
insufficient_improvement,NaN,317,297,328,2.87683834807079,317,321,4,-0.00137755226903885,0.00225790767669561,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,26,77,available,324,334
overlapping_detection_in_fit,NaN,NaN,474,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,27,80,fixed,534,543
insufficient_clean_context,NaN,NaN,532,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,27,80,available,534,543
insufficient_improvement,NaN,162,114,178,-4.10847637812855,139,167,28,-0.000517572524365244,0.00662692131639966,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,28,83,fixed,174,185
insufficient_improvement,NaN,162,114,178,-4.10847637812855,139,167,28,-0.000517572524365244,0.00662692131639966,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,28,83,available,174,185
resolved,407,407,386,450,14.1711240239661,406,409,3,-0.0108398943421351,0.00394705162565697,387,406,40.831985940246,0.124544836313239,provisional_valid,M400-01-baseline-awake,29,86,fixed,446,456
resolved,407,407,386,450,14.1711240239661,406,409,3,-0.0108398943421351,0.00394705162565697,387,406,40.831985940246,0.124544836313239,provisional_valid,M400-01-baseline-awake,29,86,available,446,456
insufficient_improvement,NaN,181,136,200,-6.02036248112533,156,196,40,0.000508711276575706,-0.00083388543963774,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,30,89,fixed,196,206
insufficient_improvement,NaN,181,136,200,-6.02036248112533,156,196,40,0.000508711276575706,-0.00083388543963774,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,30,89,available,196,206
overlapping_detection_in_fit,NaN,NaN,149,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,31,92,fixed,209,219
resolved,207,207,185,213,14.1613927682581,206,208,2,-0.000999845116879517,0.00818262484954066,187,206,110.826104417671,0.0549660387592803,provisional_valid,M400-01-baseline-awake,31,92,available,209,219
insufficient_improvement,NaN,223,181,245,6.31785797093337,221,225,4,-0.00065918689768223,0.00139039440599882,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,32,95,fixed,241,251
insufficient_improvement,NaN,223,181,245,6.31785797093337,221,225,4,-0.00065918689768223,0.00139039440599882,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,32,95,available,241,251
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,33,98,fixed,241,254
insufficient_improvement,NaN,240,219,245,-3.99417523047843,239,241,2,0.000935110468723179,0.00708864602450859,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,33,98,available,241,254
overlapping_detection_in_fit,NaN,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,34,101,fixed,241,252
insufficient_clean_context,NaN,NaN,220,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,34,101,available,241,252
overlapping_detection_in_fit,NaN,NaN,182,246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,35,104,fixed,242,253
not_a_rising_change,NaN,240,220,246,13.515932929694,240,240,0,0.00550477776042031,-0.00399324023383042,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,35,104,available,242,253
insufficient_improvement,NaN,239,183,247,0.0480320919212431,236,242,6,-0.00130136025335296,0.0136434093072803,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,36,107,fixed,243,253
insufficient_improvement,NaN,239,183,247,0.0480320919212431,236,242,6,-0.00130136025335296,0.0136434093072803,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,36,107,available,243,253
overlapping_detection_in_fit,NaN,NaN,271,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,37,110,fixed,331,347
insufficient_clean_context,NaN,NaN,311,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,37,110,available,331,347
overlapping_detection_in_fit,NaN,NaN,185,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,38,113,fixed,245,254
insufficient_clean_context,NaN,NaN,235,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,38,113,available,245,254
overlapping_detection_in_fit,NaN,NaN,224,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,39,116,fixed,284,294
insufficient_clean_context,NaN,NaN,281,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,39,116,available,284,294
overlapping_detection_in_fit,NaN,NaN,241,305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,40,119,fixed,301,310
insufficient_improvement,NaN,280,254,305,3.35997601414201,274,285,11,0.00205495726514478,-0.00216727909283493,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,40,119,available,301,310
insufficient_improvement,NaN,302,260,324,5.08484514513512,299,316,17,-0.000627704175258137,0.00077249246635164,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,41,122,fixed,320,332
insufficient_improvement,NaN,302,260,324,5.08484514513512,299,316,17,-0.000627704175258137,0.00077249246635164,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,41,122,available,320,332
insufficient_improvement,NaN,320,265,329,0.410785322577897,316,323,7,-0.000515633011180677,0.00183507582289543,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,42,125,fixed,325,338
insufficient_improvement,NaN,320,265,329,0.410785322577897,316,323,7,-0.000515633011180677,0.00183507582289543,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,42,125,available,325,338
overlapping_detection_in_fit,NaN,NaN,322,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,43,128,fixed,382,393
insufficient_clean_context,NaN,NaN,367,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,43,128,available,382,393
resolved,357,357,330,394,72.588227989986,356,358,2,-0.00521670658970985,0.00292861295338698,337,356,91.5259660883281,0.0468663867560983,provisional_valid,M400-01-baseline-awake,44,131,fixed,390,400
resolved,357,357,330,394,72.588227989986,356,358,2,-0.00521670658970985,0.00292861295338698,337,356,91.5259660883281,0.0468663867560983,provisional_valid,M400-01-baseline-awake,44,131,available,390,400
not_a_rising_change,NaN,381,355,419,29.3965691018596,377,392,15,0.00246078975306056,-0.0012354265814547,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,45,134,fixed,415,430
not_a_rising_change,NaN,381,355,419,29.3965691018596,377,392,15,0.00246078975306056,-0.0012354265814547,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,45,134,available,415,430
overlapping_detection_in_fit,NaN,NaN,372,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,46,137,fixed,432,459
insufficient_clean_context,NaN,NaN,431,436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,46,137,available,432,459
not_a_rising_change,NaN,443,408,472,29.9642310083377,437,450,13,0.00302596189932439,-0.00277964920788266,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,47,140,fixed,468,478
not_a_rising_change,NaN,443,408,472,29.9642310083377,437,450,13,0.00302596189932439,-0.00277964920788266,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,47,140,available,468,478
insufficient_improvement,NaN,515,475,539,7.94126891704212,512,518,6,-0.00055249903244831,0.00311785943481498,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,48,143,fixed,535,544
insufficient_improvement,NaN,515,475,539,7.94126891704212,512,518,6,-0.00055249903244831,0.00311785943481498,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,48,143,available,535,544
insufficient_improvement,NaN,521,499,563,5.75720532187049,519,525,6,-0.000940813858332653,0.000517337775565038,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,49,146,fixed,559,569
insufficient_improvement,NaN,521,499,563,5.75720532187049,519,525,6,-0.000940813858332653,0.000517337775565038,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,49,146,available,559,569
overlapping_detection_in_fit,NaN,NaN,520,584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,50,149,fixed,580,600
insufficient_clean_context,NaN,NaN,568,584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,50,149,available,580,600
insufficient_improvement,NaN,582,530,594,-7.14061146175098,550,590,40,-0.000441161418261279,0.000306479065130471,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,51,152,fixed,590,600
insufficient_improvement,NaN,582,530,594,-7.14061146175098,550,590,40,-0.000441161418261279,0.000306479065130471,NaN,NaN,NaN,NaN,onset_unresolved,M400-01-baseline-awake,51,152,available,590,600
recording_boundary_unresolved,NaN,NaN,-3,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,1,2,fixed,57,86
insufficient_improvement,NaN,41,1,61,-2.29889456940853,35,57,22,0.000791285547655642,0.00168355005126507,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,1,2,available,57,86
overlapping_detection_in_fit,NaN,NaN,125,189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,2,5,fixed,185,224
insufficient_clean_context,NaN,NaN,182,189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,2,5,available,185,224
overlapping_detection_in_fit,NaN,NaN,29,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,3,8,fixed,89,104
insufficient_clean_context,NaN,NaN,87,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,3,8,available,89,104
overlapping_detection_in_fit,NaN,NaN,99,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,4,11,fixed,159,181
insufficient_clean_context,NaN,NaN,154,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,4,11,available,159,181
overlapping_detection_in_fit,NaN,NaN,53,117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,5,14,fixed,113,128
insufficient_improvement,NaN,107,87,117,-5.25695630387395,107,113,6,0.0021003239633121,-1.4229654864883e-05,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,5,14,available,113,128
insufficient_improvement,NaN,84,53,117,-3.28159456042657,73,89,16,0.00175940738133163,0.000750551414687051,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,6,17,fixed,113,150
insufficient_improvement,NaN,84,53,117,-3.28159456042657,73,89,16,0.00175940738133163,0.000750551414687051,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,6,17,available,113,150
not_a_rising_change,NaN,180,120,184,14.3657264649426,180,180,0,0.000784995193430748,-0.0107284726787753,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,7,20,fixed,180,210
not_a_rising_change,NaN,180,120,184,14.3657264649426,180,180,0,0.000784995193430748,-0.0107284726787753,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,7,20,available,180,210
overlapping_detection_in_fit,NaN,NaN,211,275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,8,23,fixed,271,282
insufficient_improvement,NaN,271,227,275,-7.38771913933441,247,271,24,0.000665544193007303,0.00203093701090684,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,8,23,available,271,282
insufficient_improvement,NaN,290,270,334,-6.28632586305666,290,330,40,-0.000214154327818033,0.000473779937403913,NaN,NaN,NaN,NaN,onset_unresolved,M401-01-baseline-awake,9,26,fixed,330,339
