Session,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
M401-01-baseline-awake,available,0.2,15,linear,10,12,12,7,7,7,7,7,0,0.5833333333333334,0.5833333333333334,1.0,1.0,0.00066138006751526,-0.0824711113739163,1.0,2.0
M401-01-baseline-awake,available,0.2,15,linear,25,12,12,6,1,6,1,6,0,0.5,0.08333333333333333,0.16666666666666666,-7.5,0.0,0.0,7.5,8.0
M401-01-baseline-awake,available,0.2,15,sine_squared,10,12,12,7,7,7,7,7,0,0.5833333333333334,0.5833333333333334,1.0,2.0,0.000536047046478361,-0.0678142500811996,2.0,2.4000000000000004
M401-01-baseline-awake,available,0.2,15,sine_squared,25,12,12,6,1,6,1,6,0,0.5,0.08333333333333333,0.16666666666666666,-6.5,0.0,0.0,6.5,8.0
M401-01-baseline-awake,available,0.2,30,linear,10,12,12,7,7,7,7,7,0,0.5833333333333334,0.5833333333333334,1.0,1.0,0.00033069003375763,-0.0394158901501296,2.0,2.8000000000000007
M401-01-baseline-awake,available,0.2,30,linear,25,12,12,6,5,6,5,6,0,0.5,0.4166666666666667,0.8333333333333334,-1.0,0.0,0.0,2.0,6.0
M401-01-baseline-awake,available,0.2,30,sine_squared,10,12,12,8,4,8,4,8,0,0.6666666666666666,0.3333333333333333,0.5,5.5,0.0019357711924614701,-0.226189712238012,5.5,9.0
M401-01-baseline-awake,available,0.2,30,sine_squared,25,12,12,7,6,7,6,7,0,0.5833333333333334,0.5,0.8571428571428571,3.0,0.000380899418072511,-0.0480736476129007,3.0,5.4
M401-01-baseline-awake,available,0.2,5,linear,10,12,12,7,7,7,7,7,0,0.5833333333333334,0.5833333333333334,1.0,-4.0,0.0,0.0,4.0,5.0
M401-01-baseline-awake,available,0.2,5,linear,25,12,12,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
