Status,OnsetFrame,BestCandidateFrame,FitStartFrame,FitEndFrame,ScoreImprovement,ProfileStartFrame,ProfileEndFrame,ProfileSpanSec,BaselineSlopePerSecOverFitMedian,PostSlopePerSecOverFitMedian,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,Context,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,OnsetErrorSec,WithinFiveSec,PosthocCalibration
resolved,95,95,60,124,2533.85311510514,95,95,0,1.01795761696658e-17,0.00666666666666667,75,94,100,0.2,provisional_valid,fixed,0.2,30,linear,25,95,0,1,1
resolved,114,114,60,124,312.873720753101,114,114,0,2.7439320666929e-05,0.00865302815532325,94,113,100.08136426498,0.199024422591627,provisional_valid,fixed,0.2,30,sine_squared,10,110,4,1,1
resolved,98,98,60,124,245.718978811239,98,98,0,-1.72048830287549e-05,0.00824222103403316,78,97,100.038136993801,0.199542530539483,provisional_valid,fixed,0.2,30,sine_squared,25,95,3,1,1
resolved,106,106,60,124,108.09914464574,105,107,2,3.11850311850327e-06,0.00135304737936318,86,105,100,0.02,provisional_valid,available,0.02,5,linear,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,27.8525542689571,118,120,2,0.000469567844309463,-0.00440806754221378,NaN,NaN,NaN,NaN,onset_unresolved,available,0.02,5,linear,25,95,NaN,0,1
resolved,106,106,60,124,100.60963462134,105,107,2,1.97078797685809e-06,0.00135870541365791,86,105,100,0.02,provisional_valid,available,0.02,5,sine_squared,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,28.4598976615176,119,120,1,0.000473067133991667,-0.00457861987846374,NaN,NaN,NaN,NaN,onset_unresolved,available,0.02,5,sine_squared,25,95,NaN,0,1
resolved,110,110,60,124,2263.00490440541,110,110,0,7.12814587903076e-18,0.00133333333333332,90,109,100,0.02,provisional_valid,available,0.02,15,linear,10,110,0,1,1
resolved,90,90,60,124,70.7748712927968,88,91,3,4.40399295360628e-06,0.000724263438003898,70,89,100,0.02,provisional_valid,available,0.02,15,linear,25,95,-5,1,1
resolved,112,112,60,124,289.342760556971,112,112,0,5.38814527904514e-06,0.00170449916994725,92,111,100.005415347081,0.0199447664508603,provisional_valid,available,0.02,15,sine_squared,10,110,2,1,1
resolved,90,90,60,124,58.16929354044,88,92,4,-6.07077060407994e-06,0.000738285211443552,70,89,100,0.02,provisional_valid,available,0.02,15,sine_squared,25,95,-5,1,1
resolved,110,110,60,124,2172.89577093262,110,110,0,7.90957825097762e-18,0.000666666666666643,90,109,100,0.02,provisional_valid,available,0.02,30,linear,10,110,0,1,1
resolved,95,95,60,124,2234.51705301592,95,95,0,-2.0607158460168e-18,0.000666666666666675,75,94,100,0.02,provisional_valid,available,0.02,30,linear,25,95,0,1,1
resolved,114,114,60,124,312.87372075307,114,114,0,2.74393206668985e-06,0.000865302815532333,94,113,100.008136426498,0.0199170152017176,provisional_valid,available,0.02,30,sine_squared,10,110,4,1,1
resolved,98,98,60,124,245.718978811236,98,98,0,-1.72048830287239e-06,0.000824222103403309,78,97,100.00381369938,0.0199611017497849,provisional_valid,available,0.02,30,sine_squared,25,95,3,1,1
resolved,106,106,60,124,108.099144645741,105,107,2,7.79625779625275e-06,0.00338261844840794,86,105,100,0.05,provisional_valid,available,0.05,5,linear,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,27.8525542689568,118,120,2,0.00117391961077368,-0.0110201688555346,NaN,NaN,NaN,NaN,onset_unresolved,available,0.05,5,linear,25,95,NaN,0,1
resolved,106,106,60,124,100.60963462134,105,107,2,4.92696994216777e-06,0.00339676353414472,86,105,100,0.05,provisional_valid,available,0.05,5,sine_squared,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,28.4598976615172,119,120,1,0.00118266783497919,-0.0114465496961595,NaN,NaN,NaN,NaN,onset_unresolved,available,0.05,5,sine_squared,25,95,NaN,0,1
resolved,110,110,60,124,2382.12269954905,110,110,0,4.74139729233911e-18,0.00333333333333333,90,109,100,0.05,provisional_valid,available,0.05,15,linear,10,110,0,1,1
resolved,90,90,60,124,70.7748712927973,88,91,3,1.10099823840255e-05,0.00181065859500974,70,89,100,0.05,provisional_valid,available,0.05,15,linear,25,95,-5,1,1
resolved,112,112,60,124,289.342760556974,112,112,0,1.34703631975768e-05,0.00426124792486818,92,111,100.013538367703,0.0498578663816909,provisional_valid,available,0.05,15,sine_squared,10,110,2,1,1
resolved,90,90,60,124,58.1692935404396,88,92,4,-1.5176926510199e-05,0.00184571302860889,70,89,100,0.05,provisional_valid,available,0.05,15,sine_squared,25,95,-5,1,1
resolved,110,110,60,124,2292.01356607626,110,110,0,1.25294181684818e-18,0.00166666666666665,90,109,100,0.05,provisional_valid,available,0.05,30,linear,10,110,0,1,1
resolved,95,95,60,124,2353.63484815956,95,95,0,2.02141624766197e-18,0.00166666666666667,75,94,100,0.05,provisional_valid,available,0.05,30,linear,25,95,0,1,1
resolved,114,114,60,124,312.873720753098,114,114,0,6.85983016673607e-06,0.00216325703883082,94,113,100.020341066245,0.0497864622402844,provisional_valid,available,0.05,30,sine_squared,10,110,4,1,1
resolved,98,98,60,124,245.718978811238,98,98,0,-4.30122075718377e-06,0.00206055525850829,78,97,100.00953424845,0.0498998999350602,provisional_valid,available,0.05,30,sine_squared,25,95,3,1,1
resolved,106,106,60,124,108.099144645741,105,107,2,1.55925155925044e-05,0.00676523689681588,86,105,100,0.1,provisional_valid,available,0.1,5,linear,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,27.8525542689569,118,120,2,0.00234783922154736,-0.0220403377110693,NaN,NaN,NaN,NaN,onset_unresolved,available,0.1,5,linear,25,95,NaN,0,1
resolved,106,106,60,124,100.60963462134,105,107,2,9.85393988435171e-06,0.00679352706828941,86,105,100,0.1,provisional_valid,available,0.1,5,sine_squared,10,110,-4,1,1
not_a_rising_change,NaN,120,60,124,28.4598976615175,119,120,1,0.00236533566995837,-0.0228930993923192,NaN,NaN,NaN,NaN,onset_unresolved,available,0.1,5,sine_squared,25,95,NaN,0,1
resolved,110,110,60,124,2472.23183302185,110,110,0,7.27500267172417e-18,0.00666666666666665,90,109,100,0.1,provisional_valid,available,0.1,15,linear,10,110,0,1,1
resolved,90,90,60,124,70.7748712927971,88,91,3,2.20199647680546e-05,0.00362131719001948,70,89,100,0.1,provisional_valid,available,0.1,15,linear,25,95,-5,1,1
resolved,112,112,60,124,289.342760556975,112,112,0,2.69407263951339e-05,0.00852249584973644,92,111,100.027076735406,0.0997022365351607,provisional_valid,available,0.1,15,sine_squared,10,110,2,1,1
resolved,90,90,60,124,58.1692935404396,88,92,4,-3.03538530204052e-05,0.00369142605721778,70,89,100,0.1,provisional_valid,available,0.1,15,sine_squared,25,95,-5,1,1
