Stage,TruthRow,FramesWithIntersection,InjectedVolumeCoverage,IntersectingRuns,LongestConsecutiveIntersectionFrames,RowAndNativeBounds
percentile_only,8,60,0.817707300958044,1,60,1:1-600;
physical_area_only,8,60,0.81019160885365,1,60,1:1-600;
candidate_geometry_tissue,8,50,0.655120581433763,1,12,1:1-220;
adjacent_tracks_before_duration,8,50,0.655120581433763,18,10,407:101-101;412:102-102;419:103-104;433:106-106;442:107-116;495:121-122;513:124-125;528:127-127;531:128-129;541:130-130;549:131-138;610:140-145;642:146-150;668:152-152;670:153-153;681:155-155;689:156-160;705:159-160;
ten_second_duration,8,10,0.130640898579452,1,10,12:107-116;
recurring_sites,8,10,0.130640898579452,1,10,12:107-116;
