PixelSizeUm,SampleHz,RadiusUm,SpeedUmPerSec,TrackingOverlapFraction,MinAreaUm2,MinAreaPixels,CandidateAreaPixels,InputFrames,AreaQualifiedFrames,RetainedRuns,Sites,LongestRunFrames,PreviousRuleRuns
2.35,1,60,38,0.7,9025,1635,2053,12,12,0,0,0,0
2.35,1,60,38,0.8,9025,1635,2053,12,12,0,0,0,0
2.35,1,85.5,0,0.5,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,0,0.6,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,0,0.7,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,0,0.8,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,4.75,0.5,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,4.75,0.6,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,4.75,0.7,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,4.75,0.8,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,9.5,0.5,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,9.5,0.6,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,9.5,0.7,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,9.5,0.8,9025,1635,4165,12,12,1,1,12,1
2.35,1,85.5,19,0.5,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,19,0.6,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,19,0.7,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,19,0.8,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,38,0.5,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,38,0.6,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,38,0.7,9025,1635,4165,12,12,1,1,12,0
2.35,1,85.5,38,0.8,9025,1635,4165,12,12,0,0,0,0
2.35,1,120,0,0.5,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,0,0.6,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,0,0.7,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,0,0.8,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,4.75,0.5,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,4.75,0.6,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,4.75,0.7,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,4.75,0.8,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,9.5,0.5,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,9.5,0.6,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,9.5,0.7,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,9.5,0.8,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,19,0.5,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,19,0.6,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,19,0.7,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,19,0.8,9025,1635,8197,12,12,1,1,12,1
2.35,1,120,38,0.5,9025,1635,8197,12,12,1,1,12,0
2.35,1,120,38,0.6,9025,1635,8197,12,12,1,1,12,0
2.35,1,120,38,0.7,9025,1635,8197,12,12,1,1,12,0
2.35,1,120,38,0.8,9025,1635,8197,12,12,0,0,0,0
2.35,2,45,0,0.5,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,0,0.6,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,0,0.7,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,0,0.8,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,4.75,0.5,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,4.75,0.6,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,4.75,0.7,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,4.75,0.8,9025,1635,1153,24,0,0,0,0,1
2.35,2,45,9.5,0.5,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,9.5,0.6,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,9.5,0.7,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,9.5,0.8,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,19,0.5,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,19,0.6,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,19,0.7,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,19,0.8,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,38,0.5,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,38,0.6,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,38,0.7,9025,1635,1153,24,0,0,0,0,0
2.35,2,45,38,0.8,9025,1635,1153,24,0,0,0,0,0
2.35,2,60,0,0.5,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,0,0.6,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,0,0.7,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,0,0.8,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,4.75,0.5,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,4.75,0.6,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,4.75,0.7,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,4.75,0.8,9025,1635,2053,24,24,1,1,24,1
2.35,2,60,9.5,0.5,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,9.5,0.6,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,9.5,0.7,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,9.5,0.8,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,19,0.5,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,19,0.6,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,19,0.7,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,19,0.8,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,38,0.5,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,38,0.6,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,38,0.7,9025,1635,2053,24,24,1,1,24,0
2.35,2,60,38,0.8,9025,1635,2053,24,24,0,0,0,0
2.35,2,85.5,0,0.5,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,0,0.6,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,0,0.7,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,0,0.8,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,4.75,0.5,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,4.75,0.6,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,4.75,0.7,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,4.75,0.8,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,9.5,0.5,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,9.5,0.6,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,9.5,0.7,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,9.5,0.8,9025,1635,4165,24,24,1,1,24,1
2.35,2,85.5,19,0.5,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,19,0.6,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,19,0.7,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,19,0.8,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,38,0.5,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,38,0.6,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,38,0.7,9025,1635,4165,24,24,1,1,24,0
2.35,2,85.5,38,0.8,9025,1635,4165,24,24,1,1,24,0
2.35,2,120,0,0.5,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,0,0.6,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,0,0.7,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,0,0.8,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,4.75,0.5,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,4.75,0.6,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,4.75,0.7,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,4.75,0.8,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,9.5,0.5,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,9.5,0.6,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,9.5,0.7,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,9.5,0.8,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,19,0.5,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,19,0.6,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,19,0.7,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,19,0.8,9025,1635,8197,24,24,1,1,24,1
2.35,2,120,38,0.5,9025,1635,8197,24,24,1,1,24,0
2.35,2,120,38,0.6,9025,1635,8197,24,24,1,1,24,0
2.35,2,120,38,0.7,9025,1635,8197,24,24,1,1,24,0
2.35,2,120,38,0.8,9025,1635,8197,24,24,1,1,24,0
4.75,0.5,45,0,0.5,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,0,0.6,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,0,0.7,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,0,0.8,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,4.75,0.5,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,4.75,0.6,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,4.75,0.7,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,4.75,0.8,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,9.5,0.5,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,9.5,0.6,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,9.5,0.7,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,9.5,0.8,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,19,0.5,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,19,0.6,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,19,0.7,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,19,0.8,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,38,0.5,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,38,0.6,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,38,0.7,9025,400,285,6,0,0,0,0,0
4.75,0.5,45,38,0.8,9025,400,285,6,0,0,0,0,0
4.75,0.5,60,0,0.5,9025,400,497,6,6,1,1,6,1
4.75,0.5,60,0,0.6,9025,400,497,6,6,1,1,6,1
4.75,0.5,60,0,0.7,9025,400,497,6,6,1,1,6,1
4.75,0.5,60,0,0.8,9025,400,497,6,6,1,1,6,1
4.75,0.5,60,4.75,0.5,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,4.75,0.6,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,4.75,0.7,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,4.75,0.8,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,9.5,0.5,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,9.5,0.6,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,9.5,0.7,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,9.5,0.8,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,19,0.5,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,19,0.6,9025,400,497,6,6,1,1,6,0
4.75,0.5,60,19,0.7,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,19,0.8,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,38,0.5,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,38,0.6,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,38,0.7,9025,400,497,6,6,0,0,0,0
4.75,0.5,60,38,0.8,9025,400,497,6,6,0,0,0,0
4.75,0.5,85.5,0,0.5,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,0,0.6,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,0,0.7,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,0,0.8,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,4.75,0.5,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,4.75,0.6,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,4.75,0.7,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,4.75,0.8,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,9.5,0.5,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,9.5,0.6,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,9.5,0.7,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,9.5,0.8,9025,400,1009,6,6,1,1,6,1
4.75,0.5,85.5,19,0.5,9025,400,1009,6,6,1,1,6,0
4.75,0.5,85.5,19,0.6,9025,400,1009,6,6,1,1,6,0
4.75,0.5,85.5,19,0.7,9025,400,1009,6,6,1,1,6,0
4.75,0.5,85.5,19,0.8,9025,400,1009,6,6,0,0,0,0
4.75,0.5,85.5,38,0.5,9025,400,1009,6,6,0,0,0,0
4.75,0.5,85.5,38,0.6,9025,400,1009,6,6,0,0,0,0
4.75,0.5,85.5,38,0.7,9025,400,1009,6,6,0,0,0,0
4.75,0.5,85.5,38,0.8,9025,400,1009,6,6,0,0,0,0
4.75,0.5,120,0,0.5,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,0,0.6,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,0,0.7,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,0,0.8,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,4.75,0.5,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,4.75,0.6,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,4.75,0.7,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,4.75,0.8,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,9.5,0.5,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,9.5,0.6,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,9.5,0.7,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,9.5,0.8,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,19,0.5,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,19,0.6,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,19,0.7,9025,400,2009,6,6,1,1,6,1
4.75,0.5,120,19,0.8,9025,400,2009,6,6,0,0,0,1
4.75,0.5,120,38,0.5,9025,400,2009,6,6,1,1,6,0
4.75,0.5,120,38,0.6,9025,400,2009,6,6,1,1,6,0
4.75,0.5,120,38,0.7,9025,400,2009,6,6,0,0,0,0
4.75,0.5,120,38,0.8,9025,400,2009,6,6,0,0,0,0
4.75,1,45,0,0.5,9025,400,285,12,0,0,0,0,0
4.75,1,45,0,0.6,9025,400,285,12,0,0,0,0,0
4.75,1,45,0,0.7,9025,400,285,12,0,0,0,0,0
4.75,1,45,0,0.8,9025,400,285,12,0,0,0,0,0
4.75,1,45,4.75,0.5,9025,400,285,12,0,0,0,0,0
4.75,1,45,4.75,0.6,9025,400,285,12,0,0,0,0,0
4.75,1,45,4.75,0.7,9025,400,285,12,0,0,0,0,0
4.75,1,45,4.75,0.8,9025,400,285,12,0,0,0,0,0
4.75,1,45,9.5,0.5,9025,400,285,12,0,0,0,0,0
4.75,1,45,9.5,0.6,9025,400,285,12,0,0,0,0,0
4.75,1,45,9.5,0.7,9025,400,285,12,0,0,0,0,0
4.75,1,45,9.5,0.8,9025,400,285,12,0,0,0,0,0
4.75,1,45,19,0.5,9025,400,285,12,0,0,0,0,0
4.75,1,45,19,0.6,9025,400,285,12,0,0,0,0,0
4.75,1,45,19,0.7,9025,400,285,12,0,0,0,0,0
4.75,1,45,19,0.8,9025,400,285,12,0,0,0,0,0
4.75,1,45,38,0.5,9025,400,285,12,0,0,0,0,0
4.75,1,45,38,0.6,9025,400,285,12,0,0,0,0,0
4.75,1,45,38,0.7,9025,400,285,12,0,0,0,0,0
4.75,1,45,38,0.8,9025,400,285,12,0,0,0,0,0
4.75,1,60,0,0.5,9025,400,497,12,12,1,1,12,1
4.75,1,60,0,0.6,9025,400,497,12,12,1,1,12,1
4.75,1,60,0,0.7,9025,400,497,12,12,1,1,12,1
4.75,1,60,0,0.8,9025,400,497,12,12,1,1,12,1
4.75,1,60,4.75,0.5,9025,400,497,12,12,1,1,12,0
4.75,1,60,4.75,0.6,9025,400,497,12,12,1,1,12,0
4.75,1,60,4.75,0.7,9025,400,497,12,12,1,1,12,0
4.75,1,60,4.75,0.8,9025,400,497,12,12,1,1,12,0
4.75,1,60,9.5,0.5,9025,400,497,12,12,1,1,12,0
4.75,1,60,9.5,0.6,9025,400,497,12,12,1,1,12,0
4.75,1,60,9.5,0.7,9025,400,497,12,12,1,1,12,0
4.75,1,60,9.5,0.8,9025,400,497,12,12,1,1,12,0
4.75,1,60,19,0.5,9025,400,497,12,12,1,1,12,0
4.75,1,60,19,0.6,9025,400,497,12,12,1,1,12,0
4.75,1,60,19,0.7,9025,400,497,12,12,1,1,12,0
4.75,1,60,19,0.8,9025,400,497,12,12,0,0,0,0
4.75,1,60,38,0.5,9025,400,497,12,12,1,1,12,0
4.75,1,60,38,0.6,9025,400,497,12,12,1,1,12,0
4.75,1,60,38,0.7,9025,400,497,12,12,0,0,0,0
4.75,1,60,38,0.8,9025,400,497,12,12,0,0,0,0
4.75,1,85.5,0,0.5,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,0,0.6,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,0,0.7,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,0,0.8,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,4.75,0.5,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,4.75,0.6,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,4.75,0.7,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,4.75,0.8,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,9.5,0.5,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,9.5,0.6,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,9.5,0.7,9025,400,1009,12,12,1,1,12,1
4.75,1,85.5,9.5,0.8,9025,400,1009,12,12,1,1,12,1
