CandidateRuns,RetainedEvents,RetainedContactEvents,AllOverlapEdges,ContactEdges,AllCandidateContactFrames,RetainedContactEventFrames,RetainedEventsTouchingRejectedCandidates,AllContactGeometryAndExposureVerified,Session,Case,SavedMasksAndNativeIdentitiesUnchanged
1383,40,14,2952,383,521,36,14,1,FB2312-baseline-awake,growing_clean,1
1393,39,13,2973,402,542,35,13,1,FB2312-baseline-awake,shrinking_clean,1
1167,12,11,1787,496,619,44,11,1,FB2411,growing_clean,1
1165,11,10,1786,514,643,44,10,1,FB2411,shrinking_clean,1
3040,49,25,4821,1140,1497,64,24,1,M400-01-baseline-awake,moving_clean,1
2887,18,6,3058,548,725,10,6,1,M401-01-baseline-awake,smooth_pairs,1
