RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,AmbiguousTrackingEvents,TrackingNotAssessedEvents,AmbiguousSiteAssignmentEvents,SiteAssignmentNotAssessedEvents,ShapeChangeLinkedEvents,ShapeChangeTrackingNotAssessedEvents,PotentialGapContinuationEvents,GapReviewNotAssessedEvents,ContactTrackingEvents,ContactTrackingNotAssessedEvents,ContactWithRejectedCandidateEvents,ContactEventFrames,ContactEventDurationSec
CONTACT_ID401,sink,123,53,53,70,0,0.430894308943089,0.430894308943089,58,65,0,66,0,0,123,0,123,0,123,0,123,0,123,0,0,0
CONTACT_ID401,surge,18,8,8,10,0,0.444444444444444,0.444444444444444,0,0,18,5,0,6,0,1,0,8,0,4,0,6,0,6,10,10
