Session,EventRow,Cohort,Context,NativeStartFrame,NativeEndFrame,Status,OnsetFrame,FitStartFrame,FitEndFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,RisingScore,PulseScore,SelectedScore,SelectedModel,SelectorStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,AmplitudeFraction,RiseFrames,Shape,DelayFrames,TruthOnsetFrame,Constructible,PulseTruncated,OnsetErrorSec,WithinFiveSec,NativeBaselineImposedFraction,NativeBaselineEffectPP,ProposedBaselineImposedFraction,BaselineEffectPP,PositiveBaselineFrames,BaselineUnderOnePercent,ControlResolved,SameOnsetAsControl,ShiftFromControlSec,BaselineAboveOnePercent,NegativeRawAmplitude
FB2312-baseline-awake,15,development,selection,641,650,resolved,616,581,645,596,615,590.675032243381,-0.000540202548853341,provisional_valid,15.6789681626644,13.029209318615,13.029209318615,pulse,resolved,NaN,NaN,1,0.02,7,gamma,25,616,1,0,0,1,0.0131632987508055,-1.28634625746565,0,0,0,1,0,0,NaN,0,1
FB2312-baseline-awake,15,development,selection,641,650,resolved,617,581,645,597,616,590.007505167457,-0.000652174109821879,provisional_valid,25.142229642186,21.101015854828,21.101015854828,pulse,resolved,NaN,NaN,1,0.02,7,quadratic,25,616,1,0,1,1,0.0164189175893175,-1.59736677481895,2.04103277550161e-05,-0.00203970166677836,1,1,0,0,NaN,0,1
FB2312-baseline-awake,20,development,selection,133,143,resolved,123,76,137,103,122,4930.27464963312,0.170501636274606,provisional_valid,29.7523979710555,22.9546768212155,29.7523979710555,rising,resolved,NaN,NaN,2,0.1,23,quadratic,25,108,1,0,15,0,0.051086379408471,-5.79404568564543,0.0115514852694374,-1.35210324092785,15,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,248,207,255,228,247,5601.67310490431,0.265205478803294,provisional_valid,20.7416522580298,8.50352098110391,20.7416522580298,rising,resolved,NaN,NaN,1,0.1,23,gamma,10,241,1,0,7,0,0.0242107643340164,-3.00703144827899,0.0135427478157324,-1.71343587345159,7,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,248,207,255,228,247,5606.58721815654,0.263369398123607,provisional_valid,19.3221647124403,7.16235668793787,19.3221647124403,rising,resolved,NaN,NaN,1,0.1,23,exponential,10,241,1,0,7,0,0.0252089293514255,-3.12615809419972,0.0144318864276201,-1.82328036698509,7,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,241,207,255,221,240,5589.72163212872,0.253477256141419,provisional_valid,13.6032085720361,1.22484276033618,13.6032085720361,rising,resolved,NaN,NaN,1,0.1,23,quadratic,25,226,1,0,15,0,0.0504120799728924,-6.03561498755893,0.0116751688741565,-1.46345586453656,15,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,232,207,255,212,231,5692.27069185354,0.190253942892021,provisional_valid,24.0606242023552,26.7956418578845,26.7956418578845,pulse,resolved,NaN,NaN,1,0.2,7,exponential,25,226,1,0,6,0,0.182900651907664,-18.8032160471335,0.0433501230911384,-5.1597654934082,6,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,232,207,255,212,231,5551.9687950877,0.160586572393239,provisional_valid,21.856019053088,59.9574977302513,59.9574977302513,pulse,resolved,NaN,NaN,1,0.2,7,quadratic,25,226,1,0,6,0,0.16476003628463,-16.3598740659865,0.017633847603737,-2.0465606748526,6,0,0,0,NaN,1,0
FB2312-baseline-awake,21,development,selection,251,265,resolved,240,207,255,220,239,5647.56634313516,0.340336168577502,provisional_valid,34.7344277627265,23.2625931259832,34.7344277627265,rising,resolved,NaN,NaN,2,0.2,23,quadratic,25,226,1,0,14,0,0.100824159945785,-12.4440491746997,0.0192360904961779,-2.57828278340573,14,0,0,0,NaN,1,0
FB2312-baseline-awake,22,development,selection,355,370,resolved,343,321,359,323,342,5890.38626309047,0.391946763357393,provisional_valid,15.4956880937721,3.11870879426324,15.4956880937721,rising,resolved,NaN,NaN,1,0.2,23,quadratic,25,330,1,0,13,0,0.101195841138223,-12.6179088612961,0.015429791595875,-2.14774484711575,13,0,0,0,NaN,1,0
FB2312-baseline-awake,25,development,selection,366,378,resolved,355,326,370,335,354,5601.43730736563,0.315176588379146,provisional_valid,18.4485994171035,22.3332605275589,22.3332605275589,pulse,resolved,NaN,NaN,2,0.2,23,quadratic,25,341,1,0,14,0,0.102536023476725,-11.9064522576285,0.0191251669689243,-2.51529718463714,14,0,0,0,NaN,1,0
FB2312-baseline-awake,37,development,selection,730,739,resolved,722,677,734,702,721,4902.84101361379,0.157835151738375,provisional_valid,13.015367533975,4.79503564736157,13.015367533975,rising,resolved,NaN,NaN,1,0.1,23,quadratic,25,705,1,0,17,0,0.0500867423126472,-5.65622006206838,0.016376707905569,-1.89615280828195,17,0,0,0,NaN,1,0
