Status,OnsetFrame,BaselineStartFrame,BaselineEndFrame,BaselineMean,ProvisionalAmplitude,BaselineStatus,SelectedModel,SelectedScore,RisingScore,PulseScore,RisingStatus,PulseStatus,ModelGapSec,CombinedProfileSpanSec,PlausibleModels,FitStartFrame,FitEndFrame,Session,EventRow
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,532,538,M400-01-baseline-awake,27
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-5.49477073924844,-17.3774512938755,insufficient_improvement,insufficient_improvement,NaN,NaN,0,114,178,M400-01-baseline-awake,28
resolved,407,387,406,40.831985940246,0.124544836313239,provisional_valid,rising,12.7848296628462,12.7848296628462,-1.12462650796058,resolved,insufficient_improvement,NaN,NaN,1,386,450,M400-01-baseline-awake,29
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-7.40665684224522,-16.3834380086269,insufficient_improvement,insufficient_improvement,NaN,NaN,0,136,200,M400-01-baseline-awake,30
resolved,207,187,206,110.826104417671,0.0549660387592803,provisional_valid,rising,12.7750984071382,12.7750984071382,5.44481241918834,resolved,insufficient_improvement,NaN,NaN,1,185,213,M400-01-baseline-awake,31
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,4.93156360981348,-1.11094416861136,insufficient_improvement,insufficient_improvement,NaN,NaN,0,181,245,M400-01-baseline-awake,32
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-5.38046959159832,-16.5840554544324,insufficient_improvement,insufficient_improvement,NaN,NaN,0,219,245,M400-01-baseline-awake,33
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,220,245,M400-01-baseline-awake,34
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,12.1296385685741,-19.2468773884239,not_a_rising_change,insufficient_improvement,NaN,NaN,0,220,246,M400-01-baseline-awake,35
no_model_evidence,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,-1.33826226919865,-14.7171850724174,insufficient_improvement,insufficient_improvement,NaN,NaN,0,183,247,M400-01-baseline-awake,36
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,311,335,M400-01-baseline-awake,37
insufficient_clean_context,NaN,NaN,NaN,NaN,NaN,onset_unresolved,none,NaN,NaN,NaN,insufficient_clean_context,insufficient_clean_context,NaN,NaN,0,235,249,M400-01-baseline-awake,38
