Cohort,Context,Shape,RiseFrames,DelayFrames,AmplitudeFraction,Planned,Constructible,Resolved,WithinFiveSec,BaselineUnderOnePercent,WithinFiveSecAndClean,AvailableAmplitudes,SameOnsetAsControl,ResolvedFraction,WithinFiveSecFractionAll,WithinFiveSecFractionResolved,MedianOnsetErrorSec,MedianBaselineImposedFraction,MedianBaselineEffectPP,MedianAbsoluteErrorSec,P90AbsoluteErrorSec
additional,rising,gamma,7,25,0.2,193,183,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
additional,rising,quadratic,23,10,0.02,193,183,16,6,16,6,16,6,0.08743169398907104,0.03278688524590164,0.375,3.5,4.13059464837717e-05,-0.004441692248302595,6.0,9.0
additional,rising,quadratic,23,10,0.1,193,183,33,19,33,19,33,5,0.18032786885245902,0.10382513661202186,0.5757575757575758,4.0,0.000283437259121166,-0.0334445890322499,5.0,7.800000000000001
additional,rising,quadratic,23,10,0.2,193,183,50,25,50,25,50,4,0.273224043715847,0.1366120218579235,0.5,5.0,0.0010513349155538698,-0.1328466096116255,5.5,8.100000000000001
additional,rising,quadratic,23,25,0.02,193,183,19,5,19,5,19,4,0.10382513661202186,0.0273224043715847,0.2631578947368421,12.0,0.00122649679913667,-0.127226537061076,12.0,21.2
additional,rising,quadratic,23,25,0.1,193,183,40,11,36,11,40,0,0.2185792349726776,0.060109289617486336,0.275,7.0,0.0013126252972976951,-0.1492048968620315,7.0,13.200000000000003
additional,rising,quadratic,23,25,0.2,193,183,47,14,42,14,47,0,0.2568306010928962,0.07650273224043716,0.2978723404255319,6.0,0.00173531966360096,-0.222485156025054,7.0,12.0
additional,rising,quadratic,7,10,0.02,193,183,21,14,21,14,21,4,0.11475409836065574,0.07650273224043716,0.6666666666666666,0.0,0.0,0.0,4.0,7.0
additional,rising,quadratic,7,10,0.1,193,183,51,48,51,48,51,1,0.2786885245901639,0.26229508196721313,0.9411764705882353,-1.0,0.0,0.0,1.0,4.0
additional,rising,quadratic,7,10,0.2,193,183,56,55,56,55,56,1,0.30601092896174864,0.3005464480874317,0.9821428571428571,-1.0,0.0,0.0,1.0,2.0
additional,rising,quadratic,7,25,0.02,193,183,3,1,1,1,3,0,0.01639344262295082,0.00546448087431694,0.3333333333333333,22.0,0.016499505680444,-1.74396487943385,22.0,22.8
additional,rising,quadratic,7,25,0.1,193,183,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
additional,rising,quadratic,7,25,0.2,193,183,0,0,0,0,0,0,0.0,0.0,nan,nan,nan,nan,nan,nan
additional,selection,exponential,23,10,0.02,193,183,21,11,21,11,21,4,0.11475409836065574,0.060109289617486336,0.5238095238095238,-1.0,0.0,0.0,5.0,8.0
additional,selection,exponential,23,10,0.1,193,183,44,40,43,40,44,3,0.24043715846994534,0.2185792349726776,0.9090909090909091,-2.0,0.0,0.0,2.0,5.0
additional,selection,exponential,23,10,0.2,193,183,55,52,55,52,55,2,0.3005464480874317,0.28415300546448086,0.9454545454545454,-2.0,0.0,0.0,2.0,4.600000000000001
additional,selection,exponential,23,25,0.02,193,183,16,9,13,9,16,3,0.08743169398907104,0.04918032786885246,0.5625,0.5,6.4374854036875e-05,-0.0072789992687894,3.5,21.5
additional,selection,exponential,23,25,0.1,193,183,27,20,25,20,27,2,0.14754098360655737,0.1092896174863388,0.7407407407407407,-1.0,0.0,0.0,2.0,11.00000000000001
additional,selection,exponential,23,25,0.2,193,183,36,32,35,32,36,0,0.19672131147540983,0.17486338797814208,0.8888888888888888,-2.0,0.0,0.0,2.0,6.5
additional,selection,exponential,7,10,0.02,193,183,22,13,22,13,22,3,0.12021857923497267,0.07103825136612021,0.5909090909090909,-2.0,0.0,0.0,5.0,8.900000000000002
additional,selection,exponential,7,10,0.1,193,183,46,42,46,42,46,0,0.25136612021857924,0.22950819672131148,0.9130434782608695,-1.0,0.0,0.0,2.0,5.0
additional,selection,exponential,7,10,0.2,193,183,58,55,58,55,58,0,0.31693989071038253,0.3005464480874317,0.9482758620689655,-1.0,0.0,0.0,1.0,3.3000000000000043
