RecordingID,EventType,SiteID,EventID,EventRow,StartFrame,EndFrame,DetectedStartFrame,DetectedEndFrame,FootprintPixels,BaselineWindowFrames,CleanBaselineFrames,TruncatedBaseline,OverlapExcludedFrames,NonfiniteBaselineFrames,StoredBaseline,RecomputedBaseline,StoredStatus,RecomputedStatus,StoredAmplitude,RecomputedAmplitude,AbsDifference,MeasurementMatches,WrongDirection,Condition,SourceRawSHA256
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,6,16,252,332,252,332,2447,20,3,0,17,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,7,17,335,338,335,338,334,20,2,0,18,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,8,18,340,361,340,355,1453,20,1,0,19,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,9,19,403,408,405,408,318,20,20,0,0,0,113.525157232704,113.525157232704,valid,valid,0.173513199080358,0.173513199080358,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,10,20,481,486,482,486,415,20,20,0,0,0,104.163253012048,104.163253012048,valid,valid,0.0880163783680621,0.0880163783680621,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,11,21,503,507,504,507,466,20,16,0,4,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,12,22,546,550,546,549,467,20,20,0,0,0,104.033190578158,104.033190578158,valid,valid,0.0721335432811552,0.0721335432811552,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,13,23,573,576,573,575,800,20,20,0,0,0,95.414875,95.414875,valid,valid,0.0714629139324449,0.0714629139324449,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,4,14,24,580,600,580,600,1639,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,5,1,25,12,17,12,17,579,20,11,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,5,2,26,23,41,23,33,907,20,14,0,6,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,5,3,27,81,86,81,86,284,20,20,0,0,0,98.1022887323943,98.1022887323943,valid,valid,0.0200297548010572,0.0200297548010572,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,5,4,28,90,108,90,108,893,20,3,0,17,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,6,1,29,14,40,28,30,506,20,13,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,6,2,30,123,131,125,128,797,20,10,0,10,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,1,31,11,14,11,13,324,20,10,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,2,32,95,99,97,99,504,20,20,0,0,0,97.3607142857143,97.3607142857143,valid,valid,0.0835503711040192,0.0835503711040192,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,3,33,102,105,102,104,438,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,4,34,122,131,124,130,564,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,5,35,194,208,199,208,760,20,20,0,0,0,99.2134868421053,99.2134868421053,valid,valid,0.0844570288021909,0.0844570288021909,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,6,36,241,254,245,254,515,20,20,0,0,0,94.9535922330097,94.9535922330097,valid,valid,0.0675669872456855,0.0675669872456855,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,7,37,318,347,335,347,581,20,20,0,0,0,95.7336488812392,95.7336488812392,valid,valid,0.086086702474324,0.086086702474324,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,8,38,374,401,394,399,844,20,20,0,0,0,92.0095379146919,92.0095379146919,valid,valid,0.0977135715762003,0.0977135715762003,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,7,9,39,557,570,567,570,794,20,20,0,0,0,89.5906171284635,89.5906171284635,valid,valid,0.0680389878674268,0.0680389878674268,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,8,1,40,155,160,157,160,436,20,15,0,5,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,8,2,41,164,167,164,166,320,20,16,0,4,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,8,3,42,229,240,232,234,383,20,20,0,0,0,105.587467362924,105.587467362924,valid,valid,0.128313550939664,0.128313550939664,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,8,4,43,486,500,488,500,811,20,17,0,3,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,9,1,44,219,243,225,242,1916,20,10,0,10,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,9,2,45,354,359,356,359,1329,20,20,0,0,0,111.681038374718,111.681038374718,valid,valid,0.145428538896311,0.145428538896311,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,9,3,46,361,374,361,371,1139,20,16,0,4,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,9,4,47,452,458,454,458,361,20,20,0,0,0,109.335041551247,109.335041551247,valid,valid,0.0869509588940449,0.0869509588940449,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,9,5,48,469,479,470,472,294,20,20,0,0,0,99.5045918367347,99.5045918367347,valid,valid,0.0656432291266086,0.0656432291266086,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,10,1,49,18,41,28,39,1275,20,17,1,0,0,NaN,NaN,insufficient_clean_prebaseline,insufficient_clean_prebaseline,NaN,NaN,NaN,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/surge-full-movie-measurement-20260910/M400-01-baseline-awake/control,sink,10,2,50,94,106,98,103,610,20,20,0,0,0,99.5355737704918,99.5355737704918,valid,valid,0.0641619192083891,0.0641619192083891,0,1,0,KnownSignal,695f8390be5fe18d06685d718b7e99c73d08715f51ef11ec14c694b32b599a05
