Session,Case,AmplitudeStatus,ArithmeticValid,PositiveAmplitudeEligible,SignedRawAmplitude,ProvisionalPositiveAmplitude,ReferenceStartFrame,ReferenceEndFrame,ReferenceMean,NativePeakFrame,NativePeakValue,FirstHalfReferenceMean,SecondHalfReferenceMean,ReferenceHalfChangeFraction,FirstHalfAmplitude,SecondHalfAmplitude,PositiveAcrossReferenceHalves,ExpandedStatus,ExpandedArithmeticValid,ExpandedPositiveEligible,ExpandedSignedAmplitude,ExpandedPositiveAmplitude,ExpandedPeakFrame,ExpandedPeakValue,AddedFrameCount,AddedNeighborFrames,AddedNonfiniteFrames,PeakPrecedesNative,AmplitudeIncrease,EventIndex,OnsetStatus,SelectedModel,OnsetFrame,RisingScore,PulseScore,SelectedScore,FitStartFrame,FitEndFrame,OraclePositiveReferenceFraction,OracleNegativeReferenceFraction,OracleSourceAtPeak,OraclePositiveAtPeak,OracleNegativeAtPeak,OracleRoundingAtPeak,OracleReferenceEffect,DecompositionResidual,StrongestPositiveComponentAtPeak
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,14,insufficient_clean_context,none,NaN,NaN,NaN,NaN,131,137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,15,no_model_evidence,none,NaN,-7.59403590569568,-20.03939073958,NaN,79,143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,16,no_model_evidence,none,NaN,-5.68285294586942,-12.3545526380217,NaN,85,144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,17,no_model_evidence,none,NaN,-5.99965507530289,-16.6124936883819,NaN,116,148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,18,insufficient_clean_context,none,NaN,NaN,NaN,NaN,156,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,19,insufficient_clean_context,none,NaN,NaN,NaN,NaN,151,170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,20,insufficient_clean_context,none,NaN,NaN,NaN,NaN,180,203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,21,insufficient_clean_context,none,NaN,NaN,NaN,NaN,162,174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,22,insufficient_clean_context,none,NaN,NaN,NaN,NaN,194,201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,23,no_model_evidence,none,NaN,1.47283125382589,-10.076950746171,NaN,297,328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,24,insufficient_clean_context,none,NaN,NaN,NaN,NaN,532,538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,25,no_model_evidence,none,NaN,-5.48309314852109,-17.3977162487294,NaN,114,178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,26,no_model_evidence,none,NaN,-7.55029991989443,-20.4093896386311,NaN,217,281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,positive_raw_change_provisional,1,1,0.124959714672453,0.124959714672453,387,406,40.8271929824561,449,45.928947368421,42.8524561403509,38.8019298245614,-0.0992114818554887,0.0717926463303296,0.183676883497385,1,positive_raw_change_provisional,1,1,0.124959714672453,0.124959714672453,449,45.928947368421,39,0,0,0,0,27,resolved,rising,407,12.7432830180367,-1.1661731527701,12.7432830180367,386,450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,28,no_model_evidence,none,NaN,-7.48774530598983,-16.2254008906493,NaN,136,200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,positive_raw_change_provisional,1,1,0.0545479838070591,0.0545479838070591,187,206,110.849926269223,215,116.89656625237,111.702275121129,109.997577417316,-0.0153784288468781,0.0465012115967032,0.0627194616194124,1,positive_raw_change_provisional,1,1,0.0545479838070591,0.0545479838070591,215,116.89656625237,2,0,0,0,0,29,resolved,rising,207,12.8082830836445,5.56125386749236,12.8082830836445,185,213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,30,no_model_evidence,none,NaN,4.99999288751192,-1.08368108959744,NaN,181,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,31,no_model_evidence,none,NaN,-5.35694531679729,-16.5826448578289,NaN,219,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,32,insufficient_clean_context,none,NaN,NaN,NaN,NaN,220,245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,33,no_model_evidence,none,NaN,11.8778035676873,-19.2375114840018,NaN,220,246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,34,no_model_evidence,none,NaN,-1.29925049592486,-14.692388479326,NaN,183,247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,35,insufficient_clean_context,none,NaN,NaN,NaN,NaN,311,335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,36,insufficient_clean_context,none,NaN,NaN,NaN,NaN,235,249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,37,insufficient_clean_context,none,NaN,NaN,NaN,NaN,281,288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,38,no_model_evidence,none,NaN,1.87703528585379,-14.5289988797765,NaN,254,305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,39,no_model_evidence,none,NaN,3.95253766296493,-9.86459144087915,NaN,260,324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,40,no_model_evidence,none,NaN,-0.742789713665996,-13.4938927838821,NaN,265,329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,41,insufficient_clean_context,none,NaN,NaN,NaN,NaN,360,367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
M400-01-baseline-awake,control,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,onset_unresolved,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,42,insufficient_clean_context,none,NaN,NaN,NaN,NaN,367,386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
