Session,Component,EventIndex,Frame,Source,Observed,PreNativeBlocked,NativeStart,NativeEnd,TruthStart,Onset,ReferenceMean
M400-01-baseline-awake,1,11,93,127.980014803849,127.980014803849,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,94,127.95669874167284,127.95669874167284,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,95,128.29755736491487,128.29755736491487,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,96,126.78349370836418,126.78349370836418,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,97,127.66358253145818,127.66358253145818,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,98,126.01498889711326,126.01498889711326,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,99,126.31328645447816,126.31328645447816,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,100,126.58271650629163,126.58271650629163,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,101,126.93227239082161,127.0460769800148,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,102,128.25444115470023,128.68671354552183,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,103,128.32512953367876,129.28312361213915,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,104,125.83678756476684,127.53330866025166,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,105,126.389896373057,129.0344189489267,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,106,127.1759807549963,130.99925980754998,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,107,125.60177646188009,130.7018874907476,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,108,124.47131754256107,129.49870466321244,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,109,126.62250185048113,131.76313841598815,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,110,126.95762398223538,132.1099185788305,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,111,126.11324944485567,131.30162842339007,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,112,126.45429311621021,131.61658031088083,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,113,124.29052553663952,129.35695780903035,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,114,125.00962250185049,130.0782753515914,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,115,126.12176165803109,131.21946706143598,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,116,126.46076980014804,131.53867505551443,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,117,126.30773501110289,131.5457068837898,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,118,127.0257216876388,132.28886010362694,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,119,126.51943005181347,130.93967431532198,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,120,125.88323464100667,129.6299037749815,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,121,127.0980754996299,130.25499629903774,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,122,125.52220577350111,128.12231680236863,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,123,127.23112509252405,129.380458919319,0,104,124,101,NaN,NaN
M400-01-baseline-awake,1,11,124,127.53923019985196,129.2518504811251,0,104,124,101,NaN,NaN
