Session,Role,Case,EventType,TruthRow,TruthStartFrame,TruthEndFrame,OverlappingRuns,BestNativeSpacetimeIoU,BestEventRow,NativeStartFrame,NativeEndFrame,MeasuredOnsetErrorSec,MeasuredOffsetErrorSec,MeasuredAmplitudeFraction,CloseNativeRun,BaselineStatus,TimingResolved
M401-01-baseline-awake,BOI_reference,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M401-01-baseline-awake,BOI_reference,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,1,41,60,1,0.42527386541471,64,45,56,3,-4,NaN,1,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,2,66,85,1,0.463428163879864,65,70,81,4,-4,NaN,1,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,3,111,130,1,0.507998678684347,66,115,126,3,-3,NaN,0,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,4,146,165,1,0.428631243981074,67,150,160,3,-3,NaN,0,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,5,196,215,1,0.453882538431218,68,200,211,3,-3,NaN,0,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,sink,6,246,265,1,0.516193879830243,69,249,261,3,-2,NaN,0,insufficient_clean_prebaseline,1
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,2,66,85,1,0.396195896360641,9,69,82,3,-3,NaN,0,insufficient_clean_prebaseline,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,3,111,130,1,0.403131176858156,10,114,127,3,-3,NaN,0,insufficient_clean_prebaseline,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,5,196,215,1,0.354003718898498,11,199,210,3,-5,NaN,0,insufficient_clean_prebaseline,NaN
M401-01-baseline-awake,BOI_reference,smooth_pairs,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
M401-01-baseline-awake,BOI_reference,single_clean,sink,7,101,160,1,0.504494366412426,90,112,150,11,-10,NaN,0,insufficient_clean_prebaseline,0
M401-01-baseline-awake,BOI_reference,single_clean,surge,7,101,160,1,0.371909842464519,6,113,149,12,-11,0.101599427531256,0,valid,NaN
M401-01-baseline-awake,BOI_reference,single_noise,sink,7,101,160,1,0.446919069310712,95,113,146,12,-14,0.202095666096299,0,valid,1
M401-01-baseline-awake,BOI_reference,single_noise,surge,7,101,160,1,0.370388059701493,4,112,148,11,-12,0.138222440023494,0,valid,NaN
FB2411,fluorescence_control,control,sink,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,sink,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,control,surge,7,101,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,sink,1,41,60,1,0.615186079427192,4,43,57,2,-3,NaN,1,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,sink,2,66,85,1,0.588215544737284,5,69,82,3,-3,NaN,1,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,sink,3,111,130,1,0.568726033233916,6,114,127,3,-3,NaN,0,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,sink,4,146,165,1,0.580743759551707,7,149,162,2,-3,NaN,0,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,sink,5,196,215,1,0.600166597251145,8,199,213,2,-2,NaN,0,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,sink,6,246,265,1,0.658840122791006,9,248,263,2,-2,NaN,0,insufficient_clean_prebaseline,1
FB2411,fluorescence_control,smooth_pairs,surge,1,41,60,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,surge,2,66,85,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,surge,3,111,130,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,surge,4,146,165,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,surge,5,196,215,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,smooth_pairs,surge,6,246,265,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,no_intersection,NaN
FB2411,fluorescence_control,single_clean,sink,7,101,160,1,0.573439910251017,2,111,151,10,-9,0.138653726579081,0,valid,0
FB2411,fluorescence_control,single_clean,surge,7,101,160,2,0.086928626199083,2,131,141,30,-19,NaN,1,insufficient_clean_prebaseline,NaN
FB2411,fluorescence_control,single_noise,sink,7,101,160,1,0.528185151237397,2,115,151,14,-9,0.231755328913365,0,valid,0
FB2411,fluorescence_control,single_noise,surge,7,101,160,1,0.0794411234733862,1,115,125,14,-35,0.0136609623458275,0,valid,NaN
