ShiftPixelsPerFrame,AreaPixels,Frames,StrictSurgeOverlapThresholdPixels,AdjacentOverlapPixels,RetainedSurgeRuns,RetainedSinkRuns
0,400,12,390,400,1,1
1,400,12,390,380,0,1
