RecordingID,EventType,DetectedEvents,ValidBaselineEvents,FiniteAmplitudeEvents,UnavailableAmplitudeEvents,WrongDirectionAmplitudeEvents,ValidBaselineFraction,FiniteAmplitudeFraction,TimingResolvedEvents,TimingUnresolvedEvents,TimingNotAssessedEvents,CloseNativeRunEvents,RecurrenceNotAssessedEvents,Session,Case,Role
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/control,sink,196,97,97,99,0,0.494897959183673,0.494897959183673,104,92,0,104,0,M400-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/control,surge,40,19,19,21,0,0.475,0.475,0,0,40,9,0,M400-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/smooth_pairs,sink,192,93,93,99,0,0.484375,0.484375,107,85,0,98,0,M400-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/smooth_pairs,surge,45,16,16,29,0,0.355555555555556,0.355555555555556,0,0,45,13,0,M400-01-baseline-awake,smooth_pairs,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/single_clean,sink,191,93,93,98,0,0.486910994764398,0.486910994764398,102,89,0,101,0,M400-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/single_clean,surge,38,17,17,21,0,0.447368421052632,0.447368421052632,0,0,38,11,0,M400-01-baseline-awake,single_clean,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/single_noise,sink,195,97,97,98,0,0.497435897435897,0.497435897435897,102,93,0,100,0,M400-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M400-01-baseline-awake/single_noise,surge,38,17,17,21,0,0.447368421052632,0.447368421052632,0,0,38,11,0,M400-01-baseline-awake,single_noise,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/control,sink,137,70,70,67,2,0.510948905109489,0.510948905109489,59,78,0,72,0,M401-01-baseline-awake,control,BOI_reference
/Users/zcm361/Documents/Github/OxygenDynamicsV2/reference-validation/smooth-surge-audit-20260909/M401-01-baseline-awake/control,surge,1,0,0,1,0,0,0,0,0,1,0,0,M401-01-baseline-awake,control,BOI_reference
