Paths,Mouse,Genotype,Pixelsize,Condition,DrugID,Promoter,SampleF,Abf_Channel_Camera,PostureFile,Posture_Fs,PupilFile,Pupil_Fs,PuffsFile,Abf_Channel_Puffs,Puff_2use,WhiskingFile,Comment,Objective,CamBin,Camera,Mouse_born_week,Age_of_Mouse_Measured,Mouse_ID_copz,Gender
Data\control\FB2311,FB2311,WT,6.75,Anesthetized,KX,GFAP,1,,,,,,,,,,,,,,,,,
Data\control\FB2316,FB2316,WT,6.75,Anesthetized,KX,GFAP,1,,,,,,,,,,,,,,,,,
